region,code,nom,nb_bv,inscrits,votants,taux_participation,nuls,exprimes,bulletins_blancs,taux_bulletins_blancs
BELIER,019,"BOLI, DIDIEVI, MOLONOU-BLE ET TIE-N'DIEKRO, COMMUNES ET SOUS-PREFECTURES",129,36304,11536,31.78,421,11115,138,1.24
BELIER,020,"LOMOKANKRO, MOLONOU, TLEBISSOU ET YAKPABO-SAKASSOU, COMMUNES ET SOUS-PREFECTURES",147,42781,14778,34.54,537,14241,134,0.94
BELIER,021,"TOUMODI, COMMUNE",84,31946,9783,30.62,338,9445,57,0.6
BELIER,022,"ANGODA, BONIKRO, DJEKANOU, KPOUEBO, KOKUMBO, COMMUNES ET SOUS-PREFECTURES, TOUMODI, SOUS-PREFECTURE",139,43279,12775,29.52,556,12219,128,1.05
BERE,023,"BOUANDOUGOU ET TIENINGBOUE, COMMUNES ET SOUS-PREFECTURES",95,25590,14752,57.65,187,14565,237,1.63
BERE,024,"DIANRA ET DIARRA-VILLAGE, COMMUNES ET SOUS-PREFECTURES",88,26729,16599,62.1,291,16308,378,2.32
BERE,025,"MANKONO, COMMUNE ET SOUS-PREFECTURE",73,23860,12104,50.73,144,11960,138,1.15
BERE,026,"MARANDALLAH ET SARHALA, COMMUNES ET SOUS-PREFECTURES",78,21935,11771,53.66,130,11641,195,1.68
BERE,027,"KONGASSO ET KOUNAHIRI, COMMUNES ET SOUS-PREFECTURES",84,24391,10680,43.79,352,10328,224,2.17
BERE,028,"BOUKO ET BOUNA, COMMUNES ET SOUS-PREFECTURES",89,26581,14195,53.4,169,14026,283,2.02
