code_circ,region,parti,nom,score,pourcentage,elu
133,MARAHOUE,INDEPENDANT,HOURA KOUASSI MARC,4392,41.41,1
133,MARAHOUE,INDEPENDANT,KOUADIO KOUADIO AURELIEN,499,4.7,0
133,MARAHOUE,RHDP,KOUASSI ALLOMO FLORE FAITAY,2522,23.78,0
133,MARAHOUE,INDEPENDANT,GOORE BI GOLE JEAN BAPTISTE,303,2.86,0
133,MARAHOUE,INDEPENDANT,KOFFI LOUKOU LEON,2703,25.49,0
134,MARAHOUE,INDEPENDANT,KAMAGATE MOUSSA EL FADHEL,131,1.1,0
134,MARAHOUE,INDEPENDANT,NDIA FREDERIK,556,4.66,0
134,MARAHOUE,INDEPENDANT,COWPPLI BONY AFFOUE ELISABETH,209,1.75,0
134,MARAHOUE,INDEPENDANT,TIE BI IRIE MODESTE,90,0.75,0
134,MARAHOUE,INDEPENDANT,DJE BI TCHAN,254,2.13,0
134,MARAHOUE,INDEPENDANT,BLE BI BONAVENTURE,106,0.89,0
134,MARAHOUE,INDEPENDANT,OUATTARA IBRAHIM,146,1.22,0
134,MARAHOUE,RHDP,KONE ADAMA,6712,56.2,1
134,MARAHOUE,ADCI,TIBE BI N'GUESSAN MARCEL,190,1.59,0
134,MARAHOUE,INDEPENDANT,OUEDRAOGO AMIDOU,24,0.2,0
134,MARAHOUE,PDCI-RDA,KOFFI SERGES AZI,2511,21.02,0
134,MARAHOUE,INDEPENDANT,KONE ISSIAKA,924,7.74,0
135,MARAHOUE,RHDP,YACOUBA KONE,5653,65.43,1
135,MARAHOUE,INDEPENDANT,ZORO BI BALLO FRANCK,216,2.5,0
135,MARAHOUE,PDCI-RDA,TRAZIE BI GUESSAN,2570,29.75,0
135,MARAHOUE,MGC,KOUAME BI BLI ROBERT,92,1.06,0
136,MARAHOUE,INDEPENDANT,KEITA ABDOULAYE,849,12.43,0
136,MARAHOUE,CNDCI,KONAN BLE OSWALD ANATOLE N'KONIAN,477,6.99,0
136,MARAHOUE,INDEPENDANT,KOUAKOU KOUADIO PATRICE,284,4.16,0
136,MARAHOUE,INDEPENDANT,KOUAKOU MESMER BECANTY,1026,15.03,0
136,MARAHOUE,INDEPENDANT,KOUADIO ATOBE JACOB ANDERSON,388,5.68,0
136,MARAHOUE,INDEPENDANT,YAO AFFOUE MARINA,236,3.46,0
136,MARAHOUE,INDEPENDANT,KOUASSI BI KOUASSI GUILLAUME,135,1.98,0
136,MARAHOUE,RHDP,BEMA COULIBALY,2402,35.18,1
136,MARAHOUE,INDEPENDANT,CAHIE KAKOU GUY JOEL,17,0.25,0
136,MARAHOUE,INDEPENDANT,KOFFI AHOU MICHELE DEBORAH KOUADIO,64,0.94,0
136,MARAHOUE,INDEPENDANT,OUADI NDRI LOU YALOU RACHELLE,353,5.17,0
136,MARAHOUE,INDEPENDANT,TOUVOLI BI KOUADIO MARTIAL,54,0.79,0
136,MARAHOUE,PDCI-RDA,GAULLY SAHOUA ANTOINE SYLVAIN PEPIN,484,7.09,0
