region,code,nom,nb_bv,inscrits,votants,taux_participation,nuls,exprimes,bulletins_blancs,taux_bulletins_blancs
BAFING,009,"BOOKO, BOROTOU, MAHANDOUGOU ET NIOKOSSO, COMMUNES ET SOUS-PREFECTURES",77,17626,11919,67.62,59,11860,158,1.33
BAFING,010,"KORO, COMMUNE ET SOUS-PREFECTURE",42,13092,6583,50.28,117,6466,74,1.14
BAFING,011,"GBELO, GOUEKAN, KOONAN, OUANINOU, SABOUDOUGOU ET SANTA, COMMUNES ET SOUS-PREFECTURES",106,25316,15353,60.65,215,15138,208,1.37
BAFING,012,"DIOMAN, FOUNGBESSO ET GUINTEGUELA, COMMUNES ET SOUS-PREFECTURES, TOUBA, SOUS PREFECTURE",96,21299,13342,62.64,196,13146,141,1.07
BAFING,013,"TOUBA, COMMUNE",47,14962,7151,47.79,54,7097,75,1.06
BAGOUE,014,"BAYA, KASSERE ET SIEMPURGO, COMMUNES ET SOUS-PREFECTURES",63,19315,12802,66.28,330,12472,204,1.64
BAGOUE,015,"BOUNDIALI ET GANAONI, COMMUNES ET SOUS-PREFECTURES",106,36892,36846,99.88,0,36846,0,0.0
BAGOUE,016,"BLESSEGUE ET KOUTO, COMMUNES ET SOUS-PREFECTURES",59,19903,11808,59.33,70,11738,215,1.83
BAGOUE,017,"GBON, KOLIA ET SIANHALA, COMMUNES ET SOUS-PREFECTURES",88,31360,20373,64.96,183,20190,378,1.87
BAGOUE,018,"DEBETE, KANAKONO, PAPARA ET TENGRELA, COMMUNES ET SOUS-PREFECTURES",109,36904,22247,60.28,221,22026,197,0.89
