code_circ,region,parti,nom,score,pourcentage,elu
103,HAUT- SASSANDRA,INDEPENDANT,GOKOU YODE PATRICK,1793,29.58,0
103,HAUT- SASSANDRA,INDEPENDANT,SERY GBOGUHE RICHARD,308,5.08,0
103,HAUT- SASSANDRA,INDEPENDANT,LAGO DONWAHI CHARLES,133,2.19,0
103,HAUT- SASSANDRA,MNRP,LOUOBA MICHAEL,727,11.99,0
103,HAUT- SASSANDRA,RHDP,TRAORE DOTEME,1950,32.17,1
103,HAUT- SASSANDRA,INDEPENDANT,PALLE PALLE ISIDORE,91,1.5,0
103,HAUT- SASSANDRA,GP-PAIX,KOUAKOU KOFFI,44,0.73,0
103,HAUT- SASSANDRA,INDEPENDANT,YOBOUET KOUAKOU DIEUDONNE,49,0.81,0
103,HAUT- SASSANDRA,PDCI-RDA,DIBAHI DODO AMEDEE,891,14.7,0
104,HAUT- SASSANDRA,CODE,SERI LANDRY,342,2.59,0
104,HAUT- SASSANDRA,INDEPENDANT,SOKORA SOKORA ARMAND,216,1.64,0
104,HAUT- SASSANDRA,RHDP,LOKPO BRAHIMA,9209,69.82,1
104,HAUT- SASSANDRA,INDEPENDANT,YOKOZO MARINA ANGELE,76,0.58,0
104,HAUT- SASSANDRA,MGC,MADI BOUABRE,258,1.96,0
104,HAUT- SASSANDRA,PDCI-RDA,DJEDJE MADY ALPHONSE,2926,22.19,0
105,HAUT- SASSANDRA,INDEPENDANT,VAVOUA ENSEMBLE C'EST POSSIBLE,2990,24.81,0
105,HAUT- SASSANDRA,INDEPENDANT,ENSEMBLE POUR LE DEVELOPPEMENT,205,1.7,0
105,HAUT- SASSANDRA,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",4576,37.97,1
105,HAUT- SASSANDRA,INDEPENDANT,LE CHANGEMENT C'EST MAINTENANT,324,2.69,0
105,HAUT- SASSANDRA,INDEPENDANT,"VAVOUA, JEUNESSE DEBOUT",297,2.46,0
105,HAUT- SASSANDRA,INDEPENDANT,ENSEMBLE POUR LA RELEVE,58,0.48,0
105,HAUT- SASSANDRA,INDEPENDANT,VAVOUA LE CHANGEMENT C'EST MAINTENANT,115,0.95,0
105,HAUT- SASSANDRA,INDEPENDANT,UN NOUVEAU DEPART,65,0.54,0
105,HAUT- SASSANDRA,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,2993,24.84,0
106,HAUT- SASSANDRA,INDEPENDANT,KOUAME KOUADIO ANDERSON,1090,21.19,0
106,HAUT- SASSANDRA,INDEPENDANT,N'GUESSAN KOUAKOU SALOMON,59,1.15,0
106,HAUT- SASSANDRA,INDEPENDANT,SERY SOKO,310,6.03,0
106,HAUT- SASSANDRA,RHDP,VEDEA BLIKAN ELISABETH,2374,46.14,1
106,HAUT- SASSANDRA,INDEPENDANT,GBEDEGNE NADJE HUGUES,173,3.36,0
106,HAUT- SASSANDRA,INDEPENDANT,BERTE NADO AMARA,57,1.11,0
106,HAUT- SASSANDRA,PDCI-RDA,TAPE TOUAPLI,975,18.95,0
