code_circ,region,parti,nom,score,pourcentage,elu
128,LOH-DJIBOUA,MLPCI,TRAORE NAMORY,30,0.23,0
128,LOH-DJIBOUA,INDEPENDANT,KRAGBE BEHIBRO PHILIPPE MICHAEL,4959,37.38,0
128,LOH-DJIBOUA,RHDP,KOKO PATRICIA SYLVIE EPSE YAO,7622,57.45,1
128,LOH-DJIBOUA,PDCI-RDA,KOUAME KOUASSI INNOCENT,497,3.75,0
129,LOH-DJIBOUA,RHDP,GNEBA NADINE MELANIE,4260,86.99,1
129,LOH-DJIBOUA,MGC,LAGO DOUGROU DOMINIQUE,546,11.15,0
130,LOH-DJIBOUA,INDEPENDANT,YAO ASSABLI YAO,24,0.56,0
130,LOH-DJIBOUA,INDEPENDANT,BREUDJI HERMANN LANDRY,1155,26.74,0
130,LOH-DJIBOUA,RHDP,ABADI MIEZAN CHARLES,2758,63.84,1
130,LOH-DJIBOUA,INDEPENDANT,GNATTO BAHIE SEBASTIEN,14,0.32,0
130,LOH-DJIBOUA,PDCI-RDA,GAYE GNAFFOU DOGOLIE JEAN,311,7.2,0
131,LOH-DJIBOUA,INDEPENDANT,DAGO WAKOUBO SAMUEL,1042,16.15,0
131,LOH-DJIBOUA,INDEPENDANT,DOUKOURE AMANDA,15,0.23,0
131,LOH-DJIBOUA,RHDP,MERHY SAMY,4166,64.58,1
131,LOH-DJIBOUA,EDS,AHIPEAUD AHIPEAUD JEAN-ANDRE,267,4.14,0
131,LOH-DJIBOUA,INDEPENDANT,DAGO KOUASSI JUSTIN AIME,298,4.62,0
131,LOH-DJIBOUA,PDCI-RDA,GUEBO DOUKOURE MARCEL,589,9.13,0
132,LOH-DJIBOUA,INDEPENDANT,KAMBOU SANSAN SYLVAIN,100,1.18,0
132,LOH-DJIBOUA,INDEPENDANT,KONE CHEVA ADAM MOHAMED,153,1.81,0
132,LOH-DJIBOUA,INDEPENDANT,LAGO LAVRI SOLANGE EPSE KONE,891,10.51,0
132,LOH-DJIBOUA,RHDP,KOUYATE ABDOULAYE,4455,52.57,1
132,LOH-DJIBOUA,INDEPENDANT,DALLI ARTHUR PRINCE-RICHARD,1762,20.79,0
132,LOH-DJIBOUA,INDEPENDANT,GODI DADIE JUSTIN,289,3.41,0
132,LOH-DJIBOUA,PDCI-RDA,MAGOU MANDY CARMEN,754,8.9,0
