code_circ,region,parti,nom,score,pourcentage,elu
019,BELIER,RHDP,KOFFI KOFFI SERAPHIN,5037,45.32,0
019,BELIER,INDEPENDANT,KONAN ULRICH KOUADIO SERGE RENE,199,1.79,0
019,BELIER,PDCI-RDA,N'GUESSAN KOUASSI EDOUARD,5741,51.65,1
020,BELIER,INDEPENDANT,ENSEMBLE TOUT EST POSSIBLE,80,0.56,0
020,BELIER,INDEPENDANT,LES PROGRESSISTES,222,1.56,0
020,BELIER,RHDP,"UNE COTE DIVOIRE EN PAIX , PROSPERE ET SOLIDAIRE",6127,43.02,0
020,BELIER,INDEPENDANT,ENSEMBLE POUR LE DEVELOPPEMENT,190,1.33,0
020,BELIER,PRO CI,PRO COTE DIVOIRE POUR UN PARLEMENT DEFENSEUR DES POPULATIONS,70,0.49,0
020,BELIER,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,7418,52.09,1
021,BELIER,RHDP,GOUDOU RAYMONDE COFFIE,4615,48.86,0
021,BELIER,INDEPENDANT,SENI KONAN JULES NANGLE,143,1.51,0
021,BELIER,PDCI-RDA,ALLIALI HERVE DOMINIQUE DIE,4630,49.02,1
022,BELIER,INDEPENDANT,KOUADIO N'GUESSAN CHARLES,160,1.31,0
022,BELIER,INDEPENDANT,N'GUESSAN KOUAME MARIUS MAURINIER,61,0.5,0
022,BELIER,RHDP,KONAN YAO SIMPLICE,4846,39.66,0
022,BELIER,INDEPENDANT,N'DA KOUASSI JULES,97,0.79,0
022,BELIER,INDEPENDANT,KOUADIO KOFFI ASSASSI MARCEL,85,0.7,0
022,BELIER,INDEPENDANT,KOUAKOU KOUADIO JUVENAL,60,0.49,0
022,BELIER,PDCI-RDA,N'DAKPRI DJAHA ANGE FELIX,6782,55.5,1
023,BERE,INDEPENDANT,ADAMA BAKAYOKO,8087,55.52,1
023,BERE,RHDP,HAMADOU KAMAGATE,6196,42.54,0
023,BERE,PDCI-RDA,KATIENSELY COULIBALY,45,0.31,0
024,BERE,INDEPENDANT,KONATE BAKARY,1055,6.47,0
024,BERE,INDEPENDANT,KONE AMOURLAYE,4127,25.31,0
024,BERE,INDEPENDANT,CISSE ISAAC,886,5.43,0
024,BERE,RHDP,GNANGADJOMON KONE,9862,60.47,1
025,BERE,RHDP,FOFANA EPSE MEITE SALIMATA,7756,64.85,1
025,BERE,INDEPENDANT,SOTIGUY COULIBALY,3921,32.78,0
025,BERE,PDCI-RDA,FOFANA ADAMA,145,1.21,0
026,BERE,INDEPENDANT,BAMBA LADJI,5703,48.99,1
026,BERE,INDEPENDANT,WASSI KANATE,423,3.63,0
026,BERE,RHDP,DOGOSSATI BAKAYOKO,5320,45.7,0
027,BERE,INDEPENDANT,BAGATE ABDOULE TIECOURA,2190,21.2,0
027,BERE,INDEPENDANT,BISSA AUGUSTIN,2785,26.97,0
027,BERE,INDEPENDANT,GBEGBE BATO OLIVIER,426,4.12,0
027,BERE,RHDP,BAMBA CHEICK LANCINA,4606,44.6,1
027,BERE,PDCI-RDA,DELLOH ERIC,97,0.94,0
028,BERE,CODE,CONGRES DEMOCRATIQUE,1820,12.98,0
028,BERE,RHDP,"UNE COTE DIVOIRE EN PAIX,PROSPERE ET SOLIDAIRE",11923,85.01,1
