code_circ,region,parti,nom,score,pourcentage,elu
049,,RHDP,DOUMBIA ISSOUF,6384,42.93,1
049,,INDEPENDANT,FANNY FATOU,203,1.36,0
049,,INDEPENDANT,OBOUO MELAINE EVRARD,446,3.0,0
049,,INDEPENDANT,HIEN KAMBIRE IBRAHIM,4792,32.22,0
049,,ADCI,DALEBA NAHOUNOU PIERRE LAUTTI,506,3.4,0
049,,INDEPENDANT,ALOBOUE SERGE ERIC,109,0.73,0
049,,URCI,KOUAME N'GUESSAN DESIRE,68,0.46,0
049,,INDEPENDANT,ZAKO OLILI LARISSA ARMELLE RENEE,15,0.1,0
049,,INDEPENDANT,KOUAME KOFFI FRANCK AIME,38,0.26,0
049,,PDCI-RDA,BEUGRE DJOMAN,2249,15.12,0
050,,INDEPENDANT,AKRE BIEFFO STEPHANE,388,1.16,0
050,,RHDP,MAMBE BEUGRE ROBERT,31927,95.27,1
050,,INDEPENDANT,SEA ROY JEAN ROMARIC,336,1.0,0
050,,INDEPENDANT,NDE ANGRE MOISE,419,1.25,0
050,,INDEPENDANT,DAGO PRISCA LARISSA GOUGOUHONON,249,0.74,0
051,DISTRICT AUTONOME DE YAMOUSSOUKRO,INDEPENDANT,YAO KONAN GLOUA SAME,124,1.63,0
051,DISTRICT AUTONOME DE YAMOUSSOUKRO,INDEPENDANT,YAO LOUKOU GILBERT,28,0.37,0
051,DISTRICT AUTONOME DE YAMOUSSOUKRO,INDEPENDANT,BROU KOUAKOU JEAN-BAPTISTE,45,0.59,0
051,DISTRICT AUTONOME DE YAMOUSSOUKRO,ADCI,NDRI KOUAME YVES,152,2.0,0
051,DISTRICT AUTONOME DE YAMOUSSOUKRO,RHDP,KOFFI NGORAN JUSTIN,3618,47.7,1
051,DISTRICT AUTONOME DE YAMOUSSOUKRO,PDCI-RDA,KONAN KOFFI MARIUS,3525,46.47,0
052,DISTRICT AUTONOME DE YAMOUSSOUKRO,LE BUFFLE,KOFFI KOUAKOU KOUHOURE LEANDRE,1159,23.43,1
052,DISTRICT AUTONOME DE YAMOUSSOUKRO,INDEPENDANT,SEYDOU OUATTARA,100,2.02,0
052,DISTRICT AUTONOME DE YAMOUSSOUKRO,INDEPENDANT,OKA ALAIN THIERRY,171,3.46,0
052,DISTRICT AUTONOME DE YAMOUSSOUKRO,INDEPENDANT,BIFFI KOUADIO MACAIRE-JEAN,950,19.21,0
052,DISTRICT AUTONOME DE YAMOUSSOUKRO,INDEPENDANT,KOUAME ELVIS KOUADIO,107,2.16,0
052,DISTRICT AUTONOME DE YAMOUSSOUKRO,ADCI,AKPETOU KOUAME LAZARE,55,1.11,0
052,DISTRICT AUTONOME DE YAMOUSSOUKRO,RHDP,N'GUESSAN BEWAN ANICET,1107,22.38,0
052,DISTRICT AUTONOME DE YAMOUSSOUKRO,INDEPENDANT,LOUKOU KOUAME RICHARD,186,3.76,0
052,DISTRICT AUTONOME DE YAMOUSSOUKRO,INDEPENDANT,BOA ETCHEGNE SYLVAIN PRUDENCE,141,2.85,0
052,DISTRICT AUTONOME DE YAMOUSSOUKRO,INDEPENDANT,AMANI KOFFI JEROME,7,0.14,0
052,DISTRICT AUTONOME DE YAMOUSSOUKRO,INDEPENDANT,KONAN KONAN EVRAD,147,2.97,0
052,DISTRICT AUTONOME DE YAMOUSSOUKRO,PDCI-RDA,KOUAME KONAN EDOUARD,730,14.76,0
052,DISTRICT AUTONOME DE YAMOUSSOUKRO,INDEPENDANT,KOUACOU AHOU JOSEE DESTHER,11,0.22,0
