code_circ,region,parti,nom,score,pourcentage,elu
140,MARAHOUE,INDEPENDANT,DJE-BI-DJE OLIVIER VAMY,1462,28.03,0
140,MARAHOUE,INDEPENDANT,BOUE BI IRIE MARCELIN,73,1.4,0
140,MARAHOUE,CODE,KAHOU BI KALOU ROMEO,4,0.08,0
140,MARAHOUE,INDEPENDANT,TAH BI TIE EVARISTE,9,0.17,0
140,MARAHOUE,RHDP,SOULEYMANE KONE,1891,36.25,1
140,MARAHOUE,INDEPENDANT,KARAMOKO GAHOUSSOU,284,5.44,0
140,MARAHOUE,INDEPENDANT,DIALLO HABIB PEGAHTIEN,766,14.69,0
140,MARAHOUE,INDEPENDANT,TOURE KALPI GISELLE,674,12.92,0
154,MORONOU,INDEPENDANT,BEKOIN EHORODOU JORIS BENJAMIN,244,1.8,0
154,MORONOU,RHDP,N'GUESSAN AHONDJOU,9625,70.83,1
154,MORONOU,INDEPENDANT,KOUADIO KOUAKOU JULIEN,178,1.31,0
154,MORONOU,PDCI-RDA,KWABENA KOUASSI STEPHANE,3419,25.16,0
157,MORONOU,INDEPENDANT,AKA BONI MARC,1152,16.49,0
157,MORONOU,INDEPENDANT,HAMIAN OI HAMIAN ETIENNE,76,1.09,0
157,MORONOU,INDEPENDANT,KOUAME NGUADAH GEORGES,177,2.53,0
157,MORONOU,RHDP,ASSOUGBA JACOB AMOIN,2933,41.98,1
157,MORONOU,INDEPENDANT,ETTIEN AKA JEAN-CHARLES,51,0.73,0
157,MORONOU,INDEPENDANT,AKESSE TEHIA EMILIENNE,72,1.03,0
157,MORONOU,ADCI,EHUI ASSOUO BENOIT,30,0.43,0
157,MORONOU,INDEPENDANT,GOLI TINAN ESTELLE AURELIE,624,8.93,0
157,MORONOU,FPI,KASSI PASCAL TANO,965,13.81,0
157,MORONOU,PDCI-RDA,KABLAN ANZIAN ANDRE,852,12.2,0
158,MORONOU,INDEPENDANT,KOUAME MESMIN KOMOE,2214,22.2,0
158,MORONOU,INDEPENDANT,EHOUSSOU MELISSA SOMA FLORA,472,4.73,0
158,MORONOU,INDEPENDANT,ETILE ABOH FREDERIC,63,0.63,0
158,MORONOU,INDEPENDANT,TEHOUA KISSI THEOPHILE,100,1.0,0
158,MORONOU,RHDP,FETE ANE BENJAMIN,2218,22.24,0
158,MORONOU,INDEPENDANT,AMOA EBY ANICET,824,8.26,0
158,MORONOU,INDEPENDANT,KOUA CHARLES-PHILIPPS KINIMO,327,3.28,0
158,MORONOU,ADCI,BOSSON BROU KOWOUSSA EVARISTE,249,2.5,0
158,MORONOU,FPI,DIBY KOKORA BOADY BERNARD,3093,31.01,1
158,MORONOU,INDEPENDANT,AHONON ROMEO RAOUL ANE,60,0.6,0
158,MORONOU,INDEPENDANT,KASSI KOUAME JEAN-BAPTISTE,245,2.46,0
