code_circ,region,parti,nom,score,pourcentage,elu
175,SAN-PEDRO,INDEPENDANT,"SAN-PEDRO, VISION NOUVELLE",870,3.58,0
175,SAN-PEDRO,INDEPENDANT,VISION NOUVELLE,180,0.74,0
175,SAN-PEDRO,INDEPENDANT,DEVELOPPEMENT-ESPOIR-PAIX,3813,15.69,0
175,SAN-PEDRO,RHDP,"UNE COTE DIVOIRE EN PAIX ,PROSPERE ET SOLIDAIRE",12719,52.33,1
175,SAN-PEDRO,INDEPENDANT,PAIX ET COHESION SOCIALE,3931,16.17,0
175,SAN-PEDRO,INDEPENDANT,JEUNESSE ENGAGEE NATION TRANSFORMEE,282,1.16,0
175,SAN-PEDRO,INDEPENDANT,ENSEMBLE SAUVONS SAN-PERO,411,1.69,0
175,SAN-PEDRO,CODE,"ENSEMBLE, OSONS LE CHANGEMENT",166,0.68,0
175,SAN-PEDRO,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,1786,7.35,0
176,SAN-PEDRO,RHDP,KLAIBE TCHIBIO JULIEN,3173,40.79,0
176,SAN-PEDRO,INDEPENDANT,SABOA KOFFI EDMOND,535,6.88,0
176,SAN-PEDRO,INDEPENDANT,BAROU AFFALA ANDREA SISSIE,69,0.89,0
176,SAN-PEDRO,INDEPENDANT,GNEPA HOTOH DANIEL SEVERIN,147,1.89,0
176,SAN-PEDRO,FPI,HINE DADIE MARIUS,93,1.2,0
176,SAN-PEDRO,PDCI-RDA,GNEPA IROKO JOSEPH,3680,47.31,1
177,SAN-PEDRO,INDEPENDANT,GNEPA DOUBOYOU ALASSANE,367,8.41,0
177,SAN-PEDRO,RHDP,COULIBALY YAYA,2473,56.66,1
177,SAN-PEDRO,INDEPENDANT,OUELLE IRIKA FRANCIS,727,16.66,0
177,SAN-PEDRO,PDCI-RDA,EBINI WHILLIAMS TANOH,742,17.0,0
178,SUD-COMOE,INDEPENDANT,MAGLOIRE KOUAO ANOMAN,125,1.14,0
178,SUD-COMOE,INDEPENDANT,AKA EDJOLOHI ETIENNE,368,3.37,0
178,SUD-COMOE,RHDP,CISSE ABOUBAKARI,4554,41.7,0
178,SUD-COMOE,INDEPENDANT,BANGA LOUIS PHILIPPE ARTHUR,788,7.21,0
178,SUD-COMOE,PDCI-RDA,N'GOUAN JEREMIE ALFRED,5038,46.13,1
179,SUD-COMOE,RHDP,AKA AOUELE,11268,66.42,1
179,SUD-COMOE,INDEPENDANT,ELIDJE ANGORA,4799,28.29,0
179,SUD-COMOE,INDEPENDANT,MIEZAN AKATCHI ROGER,164,0.97,0
179,SUD-COMOE,PDCI-RDA,NZALASSE OUANDA FRANCIS,636,3.75,0
180,SUD-COMOE,INDEPENDANT,N'GUESSAN AKA BLEDOU FIDELE,177,2.15,0
180,SUD-COMOE,INDEPENDANT,ELLOGNE EBA KOUTOUA SEVERIN CHRISTIAN,1895,23.01,0
180,SUD-COMOE,RHDP,KAKOU BROU,3651,44.34,1
180,SUD-COMOE,PDCI-RDA,AMIAN MEHAD DOMINIQUE,2460,29.88,0
181,SUD-COMOE,RHDP,SIE HIEN,8047,57.95,1
181,SUD-COMOE,INDEPENDANT,ADJE AIME,5195,37.41,0
181,SUD-COMOE,INDEPENDANT,BAKILIS MASODA DONNALD,32,0.23,0
181,SUD-COMOE,PDCI-RDA,KASSI EDGARD ELOH,432,3.11,0
181,SUD-COMOE,MGC,KAKOU FOBA ANTOINE,133,0.96,0
181,SUD-COMOE,INDEPENDANT,KOUAME KOUASSI JEAN MICHEL,746,6.0,0
181,SUD-COMOE,INDEPENDANT,YAMOUSSOUN MOSSOUN CLEMENT,1033,8.3,0
