code_circ,region,parti,nom,score,pourcentage,elu
163,PORO,RHDP,COULIBALY ISSA,6287,45.71,1
163,PORO,INDEPENDANT,BAKAYOKO DAOUDA TENEMANGAN,3849,27.99,0
163,PORO,INDEPENDANT,SORO KADOGNON CHARLES,243,1.77,0
163,PORO,INDEPENDANT,AMINATA OUATTARA,3011,21.89,0
164,PORO,INDEPENDANT,SORO NGOLOGNINHE MAMADOU,7806,39.27,0
164,PORO,RHDP,COULIBALY ALI KADER,11349,57.1,1
164,PORO,INDEPENDANT,DIABATE HAMIDOU,82,0.41,0
165,PORO,RHDP,SORO FOBEH,4605,40.09,0
165,PORO,INDEPENDANT,SORO ZANA,6656,57.95,1
166,PORO,INDEPENDANT,YEO YALLAMISSA,497,6.38,0
166,PORO,INDEPENDANT,COULIBALY DIEUDONNE NANGA,3022,38.79,0
166,PORO,RHDP,BAMBA KASSOUM,4092,52.53,1
167,PORO,INDEPENDANT,OUATTARA ADAMA BEMITIAN,6484,58.22,1
167,PORO,RHDP,TUO SERIBA,4535,40.72,0
168,PORO,INDEPENDANT,SIRIKI SEKONGO PELEMON,2868,23.12,0
168,PORO,INDEPENDANT,SILUE NANZOUAN PATRICE,2109,17.0,0
168,PORO,RHDP,SORO KANIGUI MAMADOU,7092,57.17,1
169,PORO,INDEPENDANT,SORO SETIENGOLO,1568,16.96,0
169,PORO,RHDP,SOULEYMANE SILUE,4544,49.16,1
169,PORO,INDEPENDANT,SORO PENATIRGUE,2963,32.06,0
170,PORO,RHDP,AMADOU COULIBALY,32981,100.0,1
171,PORO,RHDP,UNE CÔTE D'IVOIRE EN PAIX PROSPERE ET SOLIDAIRE,141884,99.92,1
172,PORO,RHDP,SARASSORO GBOROTON FIDELE,29514,99.96,1
173,SAN-PEDRO,INDEPENDANT,JEUNESSE NOUVELLE VISION,2038,18.85,0
173,SAN-PEDRO,INDEPENDANT,LA VOIX DU PAYSAN POUR UN AVENIR MEILLEUR,415,3.84,0
173,SAN-PEDRO,RHDP,UNE COTE DIVOIRE EN PAIX PROSPERE ET SOLIDAIRE,4071,37.65,1
173,SAN-PEDRO,INDEPENDANT,UNIS AUTOUR DUNE VISION NOUVELLE DE DEVELOPPEMENT,295,2.73,0
173,SAN-PEDRO,INDEPENDANT,ENSEMBLE POUR LE DEVELOPPEMENT DE GABIADJI DOBA,545,5.04,0
173,SAN-PEDRO,CODE,ENSEMBLE OSONS LE CHANGEMENT,189,1.75,0
173,SAN-PEDRO,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE DIVOIRE,3129,28.94,0
174,SAN-PEDRO,INDEPENDANT,BOGA TOILY,369,4.96,0
174,SAN-PEDRO,RHDP,KONAN KOUAME ARMAND,4970,66.8,1
174,SAN-PEDRO,INDEPENDANT,YAO KOUAME BOB,339,4.56,0
174,SAN-PEDRO,PDCI-RDA,GNEPO TAKOUO VINCENT CHARLES,1713,23.02,0
