code_circ,region,parti,nom,score,pourcentage,elu
192,TONKPI,INDEPENDANT,DIOMANDE DRO JOEL,1865,28.67,1
192,TONKPI,INDEPENDANT,KEITA ADAMA,690,10.61,0
192,TONKPI,INDEPENDANT,DIOMANDE JEAN-LOUTY,1570,24.14,0
192,TONKPI,RHDP,TOKPA MANINGA,1667,25.63,0
192,TONKPI,INDEPENDANT,SOPOUDEU ONGNEU SOLANGE,118,1.81,0
192,TONKPI,INDEPENDANT,LOTTRO SABIAN VALLEY MINSOU,311,4.78,0
192,TONKPI,INDEPENDANT,YORO LOUTY REBECCA,195,3.0,0
193,TONKPI,INDEPENDANT,AGIR ENSEMBLE POUR LE NIMBA,6685,37.38,1
193,TONKPI,INDEPENDANT,TRAVAILLONS POUR BATIR DANANE,721,4.03,0
193,TONKPI,INDEPENDANT,ACTION SOLIDARITE POUR DANANE,729,4.08,0
193,TONKPI,INDEPENDANT,ENSEMBLE POUR LE DEVELOPPEMENT DE DANANE,2283,12.77,0
193,TONKPI,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",5597,31.3,0
193,TONKPI,INDEPENDANT,LA JEUNESSE DEBOUT POUR LE DEVELOPPEMENT,672,3.76,0
193,TONKPI,INDEPENDANT,AIDONS NOS PARENTS,108,0.6,0
193,TONKPI,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,882,4.93,0
194,TONKPI,INDEPENDANT,TOGON OULEI PIERRE,1664,20.48,0
194,TONKPI,INDEPENDANT,TIA GOUET BLAISE,340,4.18,0
194,TONKPI,INDEPENDANT,GOUET CHARLEMAGNE,1387,17.07,0
194,TONKPI,INDEPENDANT,GOMUN DOH EMILE CHARLES LEA,1295,15.94,0
194,TONKPI,RHDP,KEGBAN KEGBAN BERNARD,3138,38.62,1
194,TONKPI,INDEPENDANT,TIA SEUNA ANGELINE,68,0.84,0
194,TONKPI,INDEPENDANT,DOUMBOUYA MOUHAMED,90,1.11,0
194,TONKPI,INDEPENDANT,SREU ZOTAHON CYPRIEN,36,0.44,0
195,TONKPI,INDEPENDANT,SADIA KOUI SALOMON,516,6.46,0
195,TONKPI,INDEPENDANT,DION NESTOR,881,11.03,0
195,TONKPI,INDEPENDANT,OUEHI FEH BIAYO GISELE EPSE KOFFI,2681,33.58,1
195,TONKPI,INDEPENDANT,YAKE EVARISTE,570,7.14,0
195,TONKPI,INDEPENDANT,HONGNIN EVARISTE,443,5.55,0
195,TONKPI,RHDP,SERY PASCAL,2339,29.3,0
195,TONKPI,INDEPENDANT,BLY SEMONDA GISELE,286,3.58,0
195,TONKPI,INDEPENDANT,SIABA ANTOINE-CONSTANT,66,0.83,0
195,TONKPI,PDCI-RDA,DAN GONSAN CHARLES VALENTINI,124,1.55,0
