code_circ,region,parti,nom,score,pourcentage,elu
161,MORONOU,RHDP,KOUAKOU DAPA YAO KOSSONOU MARCELLIN,2862,35.53,0
161,MORONOU,ADCI,AKA NZI SEVERIN,121,1.5,0
161,MORONOU,FPI,KOUAME KONGO GREGOIRE,1265,15.7,0
161,MORONOU,INDEPENDANT,NIAMIAN N'GUESSAN RAOUL THIBAUT,732,9.09,0
161,MORONOU,PDCI-RDA,AKA DESQUITH AMBROISE,2995,37.18,1
162,MORONOU,INDEPENDANT,KANGA KACOU ANTOINE,3346,35.89,1
162,MORONOU,UDCY,KOUADIO DOUCA MARCELLIN,67,0.72,0
162,MORONOU,RHDP,NIAMIAN KOKOLO JEAN-PIERRE,2604,27.93,0
162,MORONOU,INDEPENDANT,COULIBALY ABIBA EPSE COULIBALY,56,0.6,0
162,MORONOU,INDEPENDANT,MOREAU KABLAN BILE CHARLES ARMEL,223,2.39,0
162,MORONOU,ADCI,KOUAME DJA ESSAN FRANCOIS,361,3.87,0
162,MORONOU,INDEPENDANT,KOUAME TIEMELE,72,0.77,0
162,MORONOU,PDCI-RDA,AKA AMANAN VERONIQUE,2536,27.2,0
148,NAWA,INDEPENDANT,KOFFI DJAH DANIEL,105,1.96,0
148,NAWA,INDEPENDANT,SALIA BLE SOLANGE,117,2.18,0
148,NAWA,INDEPENDANT,BONI TANO N'GUESSAN NOELLE MARIE EPOUSE EKPONON,1337,24.93,0
148,NAWA,GP-PAIX,KANGAH AMANI SERGE,174,3.25,0
148,NAWA,RHDP,ZEKRE ZADI CHRIST-YVAN,1597,29.78,1
148,NAWA,INDEPENDANT,DOGUI MARIE-NOELLE,1256,23.42,0
148,NAWA,ADCI,KOUADIO KONAN CALVIN,57,1.06,0
148,NAWA,PDCI-RDA,BLE SAILLY FELIX,669,12.48,0
149,NAWA,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",2911,44.59,0
149,NAWA,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,3448,52.81,1
149,NAWA,INDEPENDANT,"POUR LE DEVELOPPEMENT DE BUYO, JE VOTE UTILE",71,1.09,0
150,NAWA,INDEPENDANT,ENSEMBLE POUR MEAGUI,2286,18.59,0
150,NAWA,RHDP,"UNE CÔTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",2877,23.4,0
150,NAWA,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,6881,55.96,1
150,NAWA,INDEPENDANT,CITOYEN ENGAGE POUR LE PEUPLE,117,0.95,0
151,NAWA,INDEPENDANT,SAYERE MARTIAL OUPOH,1006,16.92,0
151,NAWA,INDEPENDANT,SAHIFO ALIGBA ARNAUD,432,7.27,0
151,NAWA,INDEPENDANT,DJEDJE MADOU JOEL,199,3.35,0
151,NAWA,RHDP,ZAKO OUPO ESAIE,1559,26.22,0
151,NAWA,INDEPENDANT,DOBO RENAUD MARCEL ANDREA,171,2.88,0
151,NAWA,INDEPENDANT,SERI HORTENSE EMMA,619,10.41,0
151,NAWA,PDCI-RDA,GOBO YOKORE BERNARD,1886,31.72,1
151,NAWA,INDEPENDANT,SERY KOBOU FABRICE,25,0.42,0
