code_circ,region,parti,nom,score,pourcentage,elu
196,TONKPI,INDEPENDANT,YAKE GONDO ALFRED,5002,29.43,0
196,TONKPI,INDEPENDANT,BLEU SOLO MEXIMINE,457,2.69,0
196,TONKPI,INDEPENDANT,MAHAN DETOH TIA ARMAND,772,4.54,0
196,TONKPI,RHDP,DION REMI,5634,33.15,1
196,TONKPI,INDEPENDANT,GOGBEU MAMADOU,455,2.68,0
196,TONKPI,GP-PAIX,BONTA GOUE FERNAND,191,1.12,0
196,TONKPI,MIRDEP,GUE LIAN VICTOR,179,1.05,0
196,TONKPI,INDEPENDANT,MOMINE YAOUE ALEXIS,154,0.91,0
196,TONKPI,FPI,SIA ANDRE,3909,23.0,0
197,TONKPI,INDEPENDANT,ENSEMBLE POUR MAN,8117,36.97,0
197,TONKPI,INDEPENDANT,TOUS POUR LE CHANGEMENT,326,1.48,0
197,TONKPI,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",13382,60.96,1
198,TONKPI,RHDP,MABRI TOIKEUSSE ALBERT ABDALLAH,11051,85.16,1
198,TONKPI,INDEPENDANT,WONDIE KEBA DANIEL,575,4.43,0
198,TONKPI,CODE,GOUANDAI MAHAN BARTHELEMY,154,1.19,0
198,TONKPI,PDCI-RDA,PEHE TOUHOUEGBEU KEVIN,1033,7.96,0
199,TONKPI,RHDP,KOKOUSSEU TOMIN ALEXIS,1819,24.37,1
199,TONKPI,INDEPENDANT,GUEI DANIN MAGLOIRE,1618,21.68,0
199,TONKPI,INDEPENDANT,GONGBE DOUO MACAIRE,1509,20.22,0
199,TONKPI,INDEPENDANT,DIKO YAKEUSSEU HERBERT,1102,14.77,0
199,TONKPI,PDCI-RDA,DIGONLA KEULEGBE IRENE,1335,17.89,0
200,WORODOUGOU,INDEPENDANT,DOUMBIA YACOUBOU AHMED,2605,19.61,0
200,WORODOUGOU,RHDP,KONE ABOUBACAR SIDIKI,10470,78.82,1
201,WORODOUGOU,INDEPENDANT,YACOUBA MEITE,202,2.7,0
201,WORODOUGOU,INDEPENDANT,MEITE YAYA,4329,57.89,1
201,WORODOUGOU,RHDP,MEITE BEN ABDOULAYE,2530,33.83,0
201,WORODOUGOU,INDEPENDANT,LADJI MEITE,302,4.04,0
202,WORODOUGOU,RHDP,DIOMANDE MAMADOU,6519,68.56,1
202,WORODOUGOU,INDEPENDANT,FOFANA VATIECOUMBA,2567,27.0,0
202,WORODOUGOU,INDEPENDANT,FOFANA LOSSENI,309,3.25,0
203,WORODOUGOU,INDEPENDANT,SOUMAHORO ADAMA,357,5.01,0
203,WORODOUGOU,INDEPENDANT,MOUSTAPHA FALL,1214,17.05,0
203,WORODOUGOU,RHDP,TIMITE SAHINDOU,3038,42.66,1
203,WORODOUGOU,INDEPENDANT,KEITA LASSINA,123,1.73,0
203,WORODOUGOU,INDEPENDANT,FOFANA GAOUSSOU,2023,28.41,0
203,WORODOUGOU,PDCI-RDA,ALI BAKAYOKO,195,2.74,0
