code_circ,region,parti,nom,score,pourcentage,elu
107,HAUT- SASSANDRA,RHDP,TRA BI SUI GUILLAUME,3312,66.36,1
107,HAUT- SASSANDRA,INDEPENDANT,OUIGNAN MARTIN,1416,28.37,0
107,HAUT- SASSANDRA,INDEPENDANT,KOUASSI BROU GAUTHIER,175,3.51,0
108,HAUT- SASSANDRA,FPP,BAMBA KALIFA,37,0.47,0
108,HAUT- SASSANDRA,RHDP,DOH DIBAHI MARCELLIN,4276,54.19,1
108,HAUT- SASSANDRA,INDEPENDANT,TETEA ZAMOSSE LEONARD,357,4.52,0
108,HAUT- SASSANDRA,PDCI-RDA,GOZE SEPLE BERNARD,3136,39.74,0
109,IFFOU,INDEPENDANT,KOUASSI KOUADIO FRANCOIS,48,0.65,0
109,IFFOU,GP-PAIX,KONAN KOUAKOU,98,1.32,0
109,IFFOU,PDCI-RDA,YAO N'GUESSAN JUSTIN INNOCENT,4346,58.51,1
109,IFFOU,INDEPENDANT,KOUAKOU KOUADIO JEAN-ARSENE,709,9.54,0
109,IFFOU,RHDP,KOUAKOU KOUASSI HUBERT,2173,29.25,0
110,IFFOU,INDEPENDANT,AKOTO KOUASSI OLIVIER,2411,23.13,0
110,IFFOU,RHDP,KOUAKOU KOUADIO GERMAIN,939,9.01,0
110,IFFOU,PDCI-RDA,KOUASSI TEOPHILE,5907,56.67,1
110,IFFOU,INDEPENDANT,TRAORE ABOU,658,6.31,0
110,IFFOU,INDEPENDANT,KOUAME KOUASSI BENSON,437,4.19,0
111,IFFOU,PDCI-RDA,N'DOUFOU KOUASSI RICHARD,1753,32.93,1
111,IFFOU,INDEPENDANT,KOUA MORO JEAN-BAPTISTE,765,14.37,0
111,IFFOU,INDEPENDANT,EKRA KOFFI JEAN-JACQUES,1590,29.86,0
111,IFFOU,RHDP,KOFFI KONIEN MOISE,1163,21.84,0
112,IFFOU,INDEPENDANT,KOUAKOU ATCHELAUD FAUSTO LEWIS,2500,17.66,0
112,IFFOU,INDEPENDANT,TRAORE AHMED PARFAIT,4697,33.18,1
112,IFFOU,PDCI-RDA,KOUAME TIALY HONORE,2516,17.77,0
112,IFFOU,INDEPENDANT,KOUAME KOUADIO JEAN JACQUES,168,1.19,0
112,IFFOU,INDEPENDANT,KOUAKOU KOUADIO,3004,21.22,0
112,IFFOU,RHDP,OUATTARA BAKARY,1074,7.59,0
113,IFFOU,PDCI-RDA,ADI KOUAME ISAC,6704,44.41,0
113,IFFOU,INDEPENDANT,DRAMANE KOUAKOU AMADOU,278,1.84,0
113,IFFOU,RHDP,KOUASSI KOUASSI JEAN CLAUDE,7888,52.26,1
114,INDENIE-DJUABLIN,INDEPENDANT,KONE MOUSSA,1039,8.91,0
114,INDENIE-DJUABLIN,INDEPENDANT,NINTANE MAMADOU,1006,8.62,0
114,INDENIE-DJUABLIN,RHDP,BAH ABDOULAYE,5872,50.33,1
114,INDENIE-DJUABLIN,INDEPENDANT,FOFANA ABDOUL KARIM,76,0.65,0
114,INDENIE-DJUABLIN,PDCI-RDA,BREDOU BREDOU ATHANASE,3626,31.08,0
115,INDENIE-DJUABLIN,RHDP,"UNE CÔTE DIVOIRE EN PAIX, PROSPÈRE ET SOLIDAIRE",17921,82.26,1
115,INDENIE-DJUABLIN,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,3760,17.26,0
