code_circ,region,parti,nom,score,pourcentage,elu
009,BAFING,INDEPENDANT,DIABATE MAMADOU,75,0.63,0
009,BAFING,PDCI-RDA,SOUMAHORO SOULEYMANE,408,3.44,0
009,BAFING,RHDP,DIOMANDE LASSINA,11219,94.6,1
010,BAFING,INDEPENDANT,BAKAYOKO KARAMOKO,2894,44.76,0
010,BAFING,RHDP,SOUMAHORO YOUSSOUF,3498,54.1,1
011,BAFING,CNJB-ADO,DIOMANDE AMARA,68,0.45,0
011,BAFING,INDEPENDANT,BAMBA MORY,2724,17.99,0
011,BAFING,RHDP,MAMADOU SANOGO,6026,39.81,1
011,BAFING,INDEPENDANT,BAMBA MAMADOU,123,0.81,0
011,BAFING,INDEPENDANT,DIOMANDE ABDOUL AHMARA,5989,39.56,0
012,BAFING,INDEPENDANT,MEMAN BAMBA,1524,11.59,0
012,BAFING,INDEPENDANT,ALIDJOU TOURE,3256,24.77,0
012,BAFING,INDEPENDANT,KONE MAMADOU,2287,17.4,0
012,BAFING,INDEPENDANT,MIAMAN KONE,1098,8.35,0
012,BAFING,RHDP,DIOMANDE VASSADIA,3613,27.48,1
012,BAFING,INDEPENDANT,MOUSSA BAMBA,1227,9.33,0
013,BAFING,RHDP,SANOGO MOUSSA,4962,69.92,1
013,BAFING,INDEPENDANT,BAMBA ANZOUMANA,2060,29.03,0
014,BAGOUE,RHDP,COULIBALY FONONNA CHEICK AHMED,5606,44.95,1
014,BAGOUE,INDEPENDANT,OUATTARA GUIBESSONGUI ISSA,4488,35.98,0
014,BAGOUE,INDEPENDANT,COULIBALY LASSINAN,1576,12.64,0
014,BAGOUE,INDEPENDANT,COULIBALY ZIE SOUMAILA,598,4.79,0
015,BAGOUE,RHDP,KONE MARIATOU,36846,100.0,1
016,BAGOUE,INDEPENDANT,TRAORE DON SAMUEL,3692,31.45,0
016,BAGOUE,RHDP,KONE NABAGNE BRUNO,7831,66.71,1
017,BAGOUE,INDEPENDANT,KONE KARIMOU,1242,6.15,0
017,BAGOUE,INDEPENDANT,BALLO NOUHO,10331,51.17,1
017,BAGOUE,RHDP,TOURE ALPHA YAYA,8239,40.81,0
018,BAGOUE,INDEPENDANT,KONE SEYDOU,274,1.24,0
018,BAGOUE,INDEPENDANT,DIARRASSOUBA SOUMAILA,11811,53.62,1
018,BAGOUE,INDEPENDANT,DIARRASSOUBA ABDOULAYE,3070,13.94,0
018,BAGOUE,RHDP,TRAORE MARIAME,6674,30.3,0
