REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
,116,"AGNIBILEKROU, COMMUNE ET SOUS-PREFECTURES",74,28 087,11675,"41,57%",423,11 252,77,"0,68%",INDEPENDANT,KOUAME BELLEBA MYRIAM ASHELEY,51,"0,45%",
,,,,,,,,,,,INDEPENDANT,ASSEMIAN EPSE TAHI AKISSI MARIE-PAUL,32,"0,28%",
,,,,,,,,,,,RHDP,FOFANA SIANDOU,5 744,"51,05%",ELU(E)
,,,,,,,,,,,INDEPENDANT,BEUGRE KOFFI BOAFFE BRICE CYRILE,122,"1,08%",
,,,,,,,,,,,PDCI-RDA,MANDODJA M'BIA ROGER,5 226,"46,45%",
,117,"AKOBOISSUE ET DAME, DOUFFREBO ET TANGUELAN, COMMUNES ET SOUS-PREFECTURES",67,17 960,8130,"45,27%",470,7 660,67,"0,87%",INDEPENDANT,BARRY SOULEYMANE,54,"0,70%",
,,,,,,,,,,,INDEPENDANT,KAMBIRE SIE,68,"0,89%",
,,,,,,,,,,,RHDP,ABOULAYE NANGO,3 308,"43,19%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KOUAKOU ADOU LEON,1 051,"13,72%",
,,,,,,,,,,,PDCI-RDA,AMANKOU JEAN MICHEL,3 112,"40,63%",
,118,"BETTIE ET DIAMARAKRO, COMMUNES ET SOUS-PREFECTURES",47,14 086,5069,"35,99%",142,4 927,30,"0,61%",INDEPENDANT,KONAN JEAN DE DIEU,1 462,"29,67%",
,,,,,,,,,,,ADCI,ANOH KOUAO STEPHANE,94,"1,91%",
,,,,,,,,,,,RHDP,TANO MANIZAN ETIENNE,1 740,"35,32%",ELU(E)
,,,,,,,,,,,INDEPENDANT,ALIKO NCHO FRANCK ANGHUI,238,"4,83%",
,,,,,,,,,,,PDCI-RDA,BROU MIAN,1 363,"27,66%",
KABADOUGOU,119,"GBONGAHA ET SEGUELON, COMMUNES ET SOUS-PREFECTURES",39,11 815,8223,"69,60%",50,8 173,104,"1,27%",INDEPENDANT,FOFANA MAMADOU,2 571,"31,46%",
,,,,,,,,,,,RHDP,KONE IBRAHIMA,5 439,"66,55%",ELU(E)
,,,,,,,,,,,PDCI-RDA,KONE SEYDOU,59,"0,72%",
,120,"FENGOLO, MADINANI ET N'GOLOBLASSO, COMMUNES ET SOUS-PREFECTURES",55,17 672,11759,"66,54%",138,11 621,149,"1,28%",RHDP,KONATE LADJI,7 042,"60,60%",ELU(E)
,,,,,,,,,,,INDEPENDANT,FOFANA LASSANA,4 430,"38,12%",
,121,"BAKO, BOUGOUSSO ET DIOULATIEDOUGOU, COMMUNES ET SOUS-PREFECTURES",69,18 754,13278,"70,80%",142,13 136,158,"1,20%",INDEPENDANT,BAMBA MOUSSA,283,"2,15%",
,,,,,,,,,,,INDEPENDANT,KONE DAVID MEBRA,170,"1,29%",
,,,,,,,,,,,INDEPENDANT,TRAORE DRISSA,521,"3,97%",
,,,,,,,,,,,INDEPENDANT,TRAORE SOUALIHO,2 018,"15,36%",
,,,,,,,,,,,INDEPENDANT,ISSOUF TRAORE,960,"7,31%",
,,,,,,,,,,,RHDP,DIARRA CEDRIC TIDIANE,9 026,"68,71%",ELU(E)
,122,"GBELEBAN ET SEYDOUGOU, COMMUNES ET SOUS-PREFECTURES",23,7 903,4577,"57,91%",92,4 485,75,"1,67%",INDEPENDANT,SANOGO AMADOU,47,"1,05%",
,,,,,,,,,,,INDEPENDANT,TRAORE BOURAHIMA,215,"4,79%",
,,,,,,,,,,,INDEPENDANT,TRAORE SOULEIMANE,199,"4,44%",
,,,,,,,,,,,RHDP,DOUMBIA ALASSANE,1 916,"42,72%",ELU(E)
,,,,,,,,,,,INDEPENDANT,VAKABA FOFANA,1 914,"42,68%",
,,,,,,,,,,,INDEPENDANT,TRAORE ABDOULAYE,7,"0,16%",
,,,,,,,,,,,PDCI-RDA,DIAKITE BOUAKARY SIDIKI,112,"2,50%",
,123,"ODIENNE , COMMUNE",87,32 124,32116,"99,98%",9,32 107,0,"0,00%",RHDP,UNE COTE DIVOIRE EN PAIX PROSPERE ET SOLIDAIRE,32 107,"100,00%",ELU(E)
