REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
LOH-DJIBOUA,128,"DAIRO-DIDIZO ET GUITRY, COMMUNES ET SOUS-PREFECTURES",118,30 986,13544,"43,71%",276,13 268,160,"1,21%",MLPCI,TRAORE NAMORY,30,"0,23%",
,,,,,,,,,,,INDEPENDANT,KRAGBE BEHIBRO PHILIPPE MICHAEL,4 959,"37,38%",
,,,,,,,,,,,RHDP,KOKO PATRICIA SYLVIE EPSE YAO,7 622,"57,45%",ELU(E)
,,,,,,,,,,,PDCI-RDA,KOUAME KOUASSI INNOCENT,497,"3,75%",
,129,"LAUZOUA ET YOCOBOUE, COMMUNES ET SOUS-PREFECTURES",50,12 142,5036,"41,48%",139,4 897,91,"1,86%",RHDP,GNEBA NADINE MELANIE,4 260,"86,99%",ELU(E)
,,,,,,,,,,,MGC,LAGO DOUGROU DOMINIQUE,546,"11,15%",
,130,"DJIDJI, GAGORE ET ZIKISSO, COMMUNES ET SOUS-PREFECTURES",45,13 640,4476,"32,82%",156,4 320,58,"1,34%",INDEPENDANT,YAO ASSABLI YAO,24,"0,56%",
,,,,,,,,,,,INDEPENDANT,BREUDJI HERMANN LANDRY,1 155,"26,74%",
,,,,,,,,,,,RHDP,ABADI MIEZAN CHARLES,2 758,"63,84%",ELU(E)
,,,,,,,,,,,INDEPENDANT,GNATTO BAHIE SEBASTIEN,14,"0,32%",
,,,,,,,,,,,PDCI-RDA,GAYE GNAFFOU DOGOLIE JEAN,311,"7,20%",
,131,"GOUDOUKO ET NIAMBEZARIA, COMMUNES ET SOUS-PREFECTURES",68,18 404,6693,"36,37%",242,6 451,74,"1,15%",INDEPENDANT,DAGO WAKOUBO SAMUEL,1 042,"16,15%",
,,,,,,,,,,,INDEPENDANT,DOUKOURE AMANDA,15,"0,23%",
,,,,,,,,,,,RHDP,MERHY SAMY,4 166,"64,58%",ELU(E)
,,,,,,,,,,,EDS,AHIPEAUD AHIPEAUD JEAN-ANDRE,267,"4,14%",
,,,,,,,,,,,INDEPENDANT,DAGO KOUASSI JUSTIN AIME,298,"4,62%",
,,,,,,,,,,,PDCI-RDA,GUEBO DOUKOURE MARCEL,589,"9,13%",
,132,"LAKOTA, COMMUNE ET SOUS-PREFECTURE",118,38 754,8724,"22,51%",250,8 474,70,"0,83%",INDEPENDANT,KAMBOU SANSAN SYLVAIN,100,"1,18%",
,,,,,,,,,,,INDEPENDANT,KONE CHEVA ADAM MOHAMED,153,"1,81%",
,,,,,,,,,,,INDEPENDANT,LAGO LAVRI SOLANGE EPSE KONE,891,"10,51%",
,,,,,,,,,,,RHDP,KOUYATE ABDOULAYE,4 455,"52,57%",ELU(E)
,,,,,,,,,,,INDEPENDANT,DALLI ARTHUR PRINCE-RICHARD,1 762,"20,79%",
,,,,,,,,,,,INDEPENDANT,GODI DADIE JUSTIN,289,"3,41%",
,,,,,,,,,,,PDCI-RDA,MAGOU MANDY CARMEN,754,"8,90%",
