REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
KABADOUGOU,124,"KIMBIRILA-SUD, TIEME, SAMATIGUILA, ET SAMANGO, COMMUNES ET SOUS-PREFECTURES, ODIENNE, SOUS PREFECTURE",87,26 474,17165,"64,84%",244,16 921,152,"0,90%",INDEPENDANT,SYLLA MARIAME,2 160,"12,77%",
,,,,,,,,,,,INDEPENDANT,KONE BEN IDRISS,89,"0,53%",
,,,,,,,,,,,INDEPENDANT,DOUMBIA ALPHA,388,"2,29%",
,,,,,,,,,,,RHDP,DIABY LANCINE,11 278,"66,65%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KEITA ADAMA,2 685,"15,87%",
,,,,,,,,,,,PDCI-RDA,VASSIRIKI DOUMBIA,169,"1,00%",
LA ME,141,"ADZOPE, COMMUNE",88,34 787,12179,"35,01%",3 423,8 756,42,"0,48%",INDEPENDANT,ASSY NCHO GUY SERGE,84,"0,96%",
,,,,,,,,,,,INDEPENDANT,ATSE URBAIN,593,"6,77%",
,,,,,,,,,,,INDEPENDANT,BLE N'GUESSAN ALAIN CARLOS,430,"4,91%",
,,,,,,,,,,,INDEPENDANT,DIARRA CHEICK HAMMALAH,308,"3,52%",
,,,,,,,,,,,RHDP,ACHI PATRICK JEROME,7 246,"82,75%",ELU(E)
,,,,,,,,,,,INDEPENDANT,EBY FOLY ANGE MARIUS,53,"0,61%",
,142,"AGOU, BECEDI-BRIGNAN ET YAKASSE-ME, COMMUNES ET SOUS-PREFECTURES",86,32 407,10322,"31,85%",270,10 052,70,"0,70%",INDEPENDANT,ASSI KANON JEAN SYLVESTRE,1 755,"17,46%",
,,,,,,,,,,,INDEPENDANT,AMON NCHO KOUADIO PATRICK,911,"9,06%",
,,,,,,,,,,,INDEPENDANT,ASSY YAPO GHISLAIN,492,"4,89%",
,,,,,,,,,,,INDEPENDANT,YAPI YATTE ALPHONSE,848,"8,44%",
,,,,,,,,,,,INDEPENDANT,ASSEUHI AKA JULIEN SERGE,508,"5,05%",
,,,,,,,,,,,RHDP,YAPI N'CHO FLORENT,5 019,"49,93%",ELU(E)
,,,,,,,,,,,INDEPENDANT,YAPI ADEPO FELIX,83,"0,83%",
,,,,,,,,,,,MGC,YAPI CLOTIDE OHOUOCHI,366,"3,64%",
,143,"ADZOPE, SOUS-PREFECTURE, ANNEPE ET ASSIKOI, COMMUNES ET SOUS-PREFECTURES",89,33 376,12344,"36,98%",268,12 076,97,"0,80%",INDEPENDANT,ASSAMOI ODI ANGE MITTERAND BIENVENU,1 351,"11,19%",
,,,,,,,,,,,RHDP,BOTCHI ASSI ABEL,8 207,"67,96%",ELU(E)
,,,,,,,,,,,ADCI,KAKOU SEKA MARCEL SYLVESTRE,207,"1,71%",
,,,,,,,,,,,INDEPENDANT,ABENIN YAPO,1 339,"11,09%",
,,,,,,,,,,,FPI,ASSI ROMEO,875,"7,25%",
,144,"AFFERY, COMMUNE ET SOUS-PREFECTURE",41,16 380,6980,"42,61%",287,6 693,20,"0,30%",FNDR,BROU BEDA ROGER,934,"13,95%",
,,,,,,,,,,,INDEPENDANT,N'GUESSAN-BECHIE PAUL,2 686,"40,13%",
,,,,,,,,,,,ADCI,YAPO BEDA ARSENE DESIRE,133,"1,99%",
,,,,,,,,,,,INDEPENDANT,YAO AKA JAURES ROLAND STEPHANE,65,"0,97%",
,,,,,,,,,,,RHDP,ASSOI ASSI APPOLINAIRE,2 855,"42,66%",ELU(E)
