REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
GBEKE,061,"BOUNDA, BROBO ET MAMINI, COMMUNES ET SOUS-PREFECTURES, BOUAKE, SOUS-PREFECTURE",136,29 385,11859,"40,36%",511,11 348,143,"1,26%",INDEPENDANT,"VISION, INTEGRITE, ESPOIR",940,"8,28%",
,,,,,,,,,,,RHDP,"UNE COTE D""IVOIRE EN PAIX,PROSPERE ET SOLIDAIRE",5 421,"47,77%",ELU(E)
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,3 771,"33,23%",
,,,,,,,,,,,INDEPENDANT,UNION-DYNAMISME-ENTRAIDE,81,"0,71%",
,062,"DJEBONOUA, COMMUNE ET SOUS-PREFECTURE",53,13 760,5286,"38,42%",173,5 113,59,"1,15%",ADCI,KONAN YAO AUBIN,60,"1,17%",
,,,,,,,,,,,INDEPENDANT,TAIGUAIN KOFFI EDMOND,243,"4,75%",
,,,,,,,,,,,INDEPENDANT,KOUAME KOUASSI GUSTAVE,1 224,"23,94%",
,,,,,,,,,,,INDEPENDANT,KOUADIO DIE,60,"1,17%",
,,,,,,,,,,,INDEPENDANT,DJE EDEPHOUET JACQUES ARNAUD,82,"1,60%",
,,,,,,,,,,,RHDP,ALLALI JUSTICE EULOGE BENIANSOU,441,"8,63%",
,,,,,,,,,,,PDCI-RDA,YAO KOUADIO ROLAND,2 944,"57,58%",ELU(E)
,063,"AYAOU-SRAN, DIBRI-ASRIKRO, SAKASSOU ET TOUMODI-SAKASSOU, COMMUNES ET SOUS-PREFECTURES",143,38 024,11752,"30,91%",377,11 375,163,"1,43%",INDEPENDANT,KOUADIO KPANNIGO N'GUESSAN VALERIE,1 155,"10,15%",
,,,,,,,,,,,INDEPENDANT,N'GUESSAN KOUASSI DENIS,34,"0,30%",
,,,,,,,,,,,INDEPENDANT,KOUASSI HERMANN RODOLPHE,284,"2,50%",
,,,,,,,,,,,CODE,ZELIA KAKAUF ABOH KOFFI,177,"1,56%",
,,,,,,,,,,,INDEPENDANT,KOFFI KOUACOU BENOIT,214,"1,88%",
,,,,,,,,,,,RHDP,TOTO KOUADIO YVES,3 597,"31,62%",
,,,,,,,,,,,ADCI,TOTO KONAN VALENTIN,781,"6,87%",
,,,,,,,,,,,PDCI-RDA,KOUADIO KOUAME EUGENE,4 970,"43,69%",ELU(E)
GBOKLE,064,"DAKPADOU ET SAGO, COMMUNES ET SOUS·PREFECTURES",71,19 602,6919,"35,30%",108,6 811,118,"1,73%",RHDP,KEBE MAHAMADOU,4 897,"71,90%",ELU(E)
,,,,,,,,,,,INDEPENDANT,YAO KONAN PAUL STEPHANE GISCARD RUFFIN,411,"6,03%",
,,,,,,,,,,,PDCI-RDA,GBALET DAKOURY DENIS,1 385,"20,33%",
,065,"GRIHIRI, LOBAKUYA, MEDON ET SASSANDRA, COMMUNES ET SOUS-PREFECTURES",104,29 913,7502,"25,08%",189,7 313,61,"0,83%",INDEPENDANT,KACOU MEA D'ASSIE JUSTIN KEVIN,4 032,"55,13%",ELU(E)
,,,,,,,,,,,RHDP,FREGBO GUETE BASILE MESMIN,2 632,"35,99%",
,,,,,,,,,,,UDCY,GOUHIZOUN N'DA PATRICK JEAN KOUAME,74,"1,01%",
,,,,,,,,,,,INDEPENDANT,DIAKITE MOHAMED,111,"1,52%",
,,,,,,,,,,,PDCI-RDA,GOUDARD AGOUA MOISE-HONORAT,403,"5,51%",
,066,"DAHIRI, FRESCO ET GBAGBAM, COMMUNES ET SOUS-PREFECTURES",82,19 869,6546,"32,95%",155,6 391,57,"0,89%",INDEPENDANT,NANAN KOFFI,303,"4,74%",
,,,,,,,,,,,INDEPENDANT,SAMA DAMALAN JANVIER,967,"15,13%",
,,,,,,,,,,,RHDP,LEGRE DAKPA PHILIPPE,2 976,"46,57%",ELU(E)
,,,,,,,,,,,ADCI,ABALE BASILE HENRI,85,"1,33%",
,,,,,,,,,,,INDEPENDANT,KPREKPRE ZILIHONON BERNADETTE ERNESTINE SYLVIE,1 625,"25,43%",
,,,,,,,,,,,PDCI-RDA,ZAMA JEAN-LUC,378,"5,91%",
