REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
SAN-PEDRO,175,"SAN PEDRO, COMMUNE",250,93 355,24880,"26,65%",576,24 304,146,"0,60%",INDEPENDANT,"SAN-PEDRO, VISION NOUVELLE",870,"3,58%",
,,,,,,,,,,,INDEPENDANT,VISION NOUVELLE,180,"0,74%",
,,,,,,,,,,,INDEPENDANT,DEVELOPPEMENT-ESPOIR-PAIX,3 813,"15,69%",
,,,,,,,,,,,RHDP,"UNE COTE DIVOIRE EN PAIX ,PROSPERE ET SOLIDAIRE",12 719,"52,33%",ELU(E)
,,,,,,,,,,,INDEPENDANT,PAIX ET COHESION SOCIALE,3 931,"16,17%",
,,,,,,,,,,,INDEPENDANT,JEUNESSE ENGAGEE NATION TRANSFORMEE,282,"1,16%",
,,,,,,,,,,,INDEPENDANT,ENSEMBLE SAUVONS SAN-PERO,411,"1,69%",
,,,,,,,,,,,CODE,"ENSEMBLE, OSONS LE CHANGEMENT",166,"0,68%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,1 786,"7,35%",
,176,"DAPO-IBOKE, DJAMANDIOKE, OLODIO ET TABOU, COMMUNES ET SOUS-PREFECTURES",99,25 383,8058,"31,75%",280,7 778,81,"1,04%",RHDP,KLAIBE TCHIBIO JULIEN,3 173,"40,79%",
,,,,,,,,,,,INDEPENDANT,SABOA KOFFI EDMOND,535,"6,88%",
,,,,,,,,,,,INDEPENDANT,BAROU AFFALA ANDREA SISSIE,69,"0,89%",
,,,,,,,,,,,INDEPENDANT,GNEPA HOTOH DANIEL SEVERIN,147,"1,89%",
,,,,,,,,,,,FPI,HINE DADIE MARIUS,93,"1,20%",
,,,,,,,,,,,PDCI-RDA,GNEPA IROKO JOSEPH,3 680,"47,31%",ELU(E)
,177,"DJOUROUTOU ET GRABO, COMMUNES ET SOUS-PREFECTURES",66,18 068,4503,"24,92%",138,4 365,56,"1,28%",INDEPENDANT,GNEPA DOUBOYOU ALASSANE,367,"8,41%",
,,,,,,,,,,,RHDP,COULIBALY YAYA,2 473,"56,66%",ELU(E)
,,,,,,,,,,,INDEPENDANT,OUELLE IRIKA FRANCIS,727,"16,66%",
,,,,,,,,,,,PDCI-RDA,EBINI WHILLIAMS TANOH,742,"17,00%",
SUD-COMOE,178,"ABOISSO, COMMUNE",102,42 232,11168,"26,44%",246,10 922,49,"0,45%",INDEPENDANT,MAGLOIRE KOUAO ANOMAN,125,"1,14%",
,,,,,,,,,,,INDEPENDANT,AKA EDJOLOHI ETIENNE,368,"3,37%",
,,,,,,,,,,,RHDP,CISSE ABOUBAKARI,4 554,"41,70%",
,,,,,,,,,,,INDEPENDANT,BANGA LOUIS PHILIPPE ARTHUR,788,"7,21%",
,,,,,,,,,,,PDCI-RDA,N'GOUAN JEREMIE ALFRED,5 038,"46,13%",ELU(E)
,179,"ABOISSO, SOUS-PREFECTURE, ADAOU, ADJOUAN, KOUAKRO ET MAFERE, COMMUNES ET SOUS-PREFECTURES",141,46 549,17283,"37,13%",317,16 966,99,"0,58%",RHDP,AKA AOUELE,11 268,"66,42%",ELU(E)
,,,,,,,,,,,INDEPENDANT,ELIDJE ANGORA,4 799,"28,29%",
,,,,,,,,,,,INDEPENDANT,MIEZAN AKATCHI ROGER,164,"0,97%",
,,,,,,,,,,,PDCI-RDA,NZALASSE OUANDA FRANCIS,636,"3,75%",
,180,"AYAME, BIANOUAN ET YAOU, COMMUNES ET SOUS-PREFECTURES",62,20 423,8734,"42,77%",500,8 234,51,"0,62%",INDEPENDANT,N'GUESSAN AKA BLEDOU FIDELE,177,"2,15%",
,,,,,,,,,,,INDEPENDANT,ELLOGNE EBA KOUTOUA SEVERIN CHRISTIAN,1 895,"23,01%",
,,,,,,,,,,,RHDP,KAKOU BROU,3 651,"44,34%",ELU(E)
,,,,,,,,,,,PDCI-RDA,AMIAN MEHAD DOMINIQUE,2 460,"29,88%",
,181,"ADIAKE, ASSINIE-MAFIA ET ETUEBOUE, COMMUNES ET SOUS-PREFECTURES",94,32 509,14212,"43,72%",327,13 885,46,"0,33%",RHDP,SIE HIEN,8 047,"57,95%",ELU(E)
,,,,,,,,,,,INDEPENDANT,ADJE AIME,5 195,"37,41%",
,,,,,,,,,,,INDEPENDANT,BAKILIS MASODA DONNALD,32,"0,23%",
,,,,,,,,,,,PDCI-RDA,KASSI EDGARD ELOH,432,"3,11%",
,,,,,,,,,,,MGC,KAKOU FOBA ANTOINE,133,"0,96%",
,,,,,,,,,,,INDEPENDANT,KOUAME KOUASSI JEAN MICHEL,746,"6,00%",
,,,,,,,,,,,INDEPENDANT,YAMOUSSOUN MOSSOUN CLEMENT,1 033,"8,30%",
