REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
WORODOUGOU,204,"DUALLA ET MASSALA, COMMUNES ET SOUS-PREFECTURES",48,12 876,7334,"56,96%",85,7 249,56,"0,77%",INDEPENDANT,DOSSO ABOUBACAR SIDIKY,2 392,"33,00%",
,,,,,,,,,,,INDEPENDANT,COULIBALY METOBA,2 076,"28,64%",
,,,,,,,,,,,RHDP,DOSSO MAMADOU,2 545,"35,11%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KONE NEDJON,7,"0,10%",
,,,,,,,,,,,INDEPENDANT,SOUMAHORO MOUSSA OUMAR,173,"2,39%",
,205,"KAMALO, SIFIE ET WOROFLA, COMMUNES ET SOUS-PREFECTURES",74,19 878,12803,"64,41%",131,12 672,164,"1,29%",RHDP,MEITE ABOULAYE,11 233,"88,64%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KONE LOSSENI,46,"0,36%",
,,,,,,,,,,,INDEPENDANT,TRAORE SEKOU,646,"5,10%",
,,,,,,,,,,,RDP,FOFANA SIAKA,175,"1,38%",
,,,,,,,,,,,PDCI-RDA,TRAORE MATAGALY KARIDJA,408,"3,22%",
