REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
TONKPI,196,"FAGNAMPLEU, GBANGBEGOUINE-YATI, PODIAGOUINE, SANDOUGOU-SOBA, SANGOUINE ET ZAGOUE, COMMUNES ET SOUS-PREFECTURES, MAN, SOUS-PREFECTURE",132,39 659,17734,"44,72%",738,16 996,243,"1,43%",INDEPENDANT,YAKE GONDO ALFRED,5 002,"29,43%",
,,,,,,,,,,,INDEPENDANT,BLEU SOLO MEXIMINE,457,"2,69%",
,,,,,,,,,,,INDEPENDANT,MAHAN DETOH TIA ARMAND,772,"4,54%",
,,,,,,,,,,,RHDP,DION REMI,5 634,"33,15%",ELU(E)
,,,,,,,,,,,INDEPENDANT,GOGBEU MAMADOU,455,"2,68%",
,,,,,,,,,,,GP-PAIX,BONTA GOUE FERNAND,191,"1,12%",
,,,,,,,,,,,MIRDEP,GUE LIAN VICTOR,179,"1,05%",
,,,,,,,,,,,INDEPENDANT,MOMINE YAOUE ALEXIS,154,"0,91%",
,,,,,,,,,,,FPI,SIA ANDRE,3 909,"23,00%",
,197,"MAN, COMMUNE",172,64 408,22399,"34,78%",446,21 953,128,"0,58%",INDEPENDANT,ENSEMBLE POUR MAN,8 117,"36,97%",
,,,,,,,,,,,INDEPENDANT,TOUS POUR LE CHANGEMENT,326,"1,48%",
,,,,,,,,,,,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",13 382,"60,96%",ELU(E)
,198,"BANNEU, TEAPLEU, YELLEU ET ZOUAN-HOUNIEN, COMMUNES ET SOUS-PREFECTURES",160,48 980,13295,"27,14%",318,12 977,164,"1,26%",RHDP,MABRI TOIKEUSSE ALBERT ABDALLAH,11 051,"85,16%",ELU(E)
,,,,,,,,,,,INDEPENDANT,WONDIE KEBA DANIEL,575,"4,43%",
,,,,,,,,,,,CODE,GOUANDAI MAHAN BARTHELEMY,154,"1,19%",
,,,,,,,,,,,PDCI-RDA,PEHE TOUHOUEGBEU KEVIN,1 033,"7,96%",
,199,"BIN-HOUYE ET GOULALEU, COMMUNES ET SOUS-PREFECTURES",59,15 441,7970,"51,62%",507,7 463,80,"1,07%",RHDP,KOKOUSSEU TOMIN ALEXIS,1 819,"24,37%",ELU(E)
,,,,,,,,,,,INDEPENDANT,GUEI DANIN MAGLOIRE,1 618,"21,68%",
,,,,,,,,,,,INDEPENDANT,GONGBE DOUO MACAIRE,1 509,"20,22%",
,,,,,,,,,,,INDEPENDANT,DIKO YAKEUSSEU HERBERT,1 102,"14,77%",
,,,,,,,,,,,PDCI-RDA,DIGONLA KEULEGBE IRENE,1 335,"17,89%",
WORODOUGOU,200,"DJIBROSSO, FADIADOUGOU ET MORONDO, COMMUNES ET SOUS-PREFECTURES",66,20 380,13373,"65,62%",90,13 283,208,"1,57%",INDEPENDANT,DOUMBIA YACOUBOU AHMED,2 605,"19,61%",
,,,,,,,,,,,RHDP,KONE ABOUBACAR SIDIKI,10 470,"78,82%",ELU(E)
,201,"KANI, COMMUNE ET SOUS-PREFECTURE",41,13 143,7621,"57,99%",143,7 478,115,"1,54%",INDEPENDANT,YACOUBA MEITE,202,"2,70%",
,,,,,,,,,,,INDEPENDANT,MEITE YAYA,4 329,"57,89%",ELU(E)
,,,,,,,,,,,RHDP,MEITE BEN ABDOULAYE,2 530,"33,83%",
,,,,,,,,,,,INDEPENDANT,LADJI MEITE,302,"4,04%",
,202,"BOBI-DIARABANA, COMMUNE ET SOUS-PREFECTURE, SEGUELA, SOUS-PREFECTURE",60,16 811,9578,"56,97%",69,9 509,114,"1,20%",RHDP,DIOMANDE MAMADOU,6 519,"68,56%",ELU(E)
,,,,,,,,,,,INDEPENDANT,FOFANA VATIECOUMBA,2 567,"27,00%",
,,,,,,,,,,,INDEPENDANT,FOFANA LOSSENI,309,"3,25%",
,203,"SEGUELA, COMMUNE",55,20 148,7201,"35,74%",80,7 121,171,"2,40%",INDEPENDANT,SOUMAHORO ADAMA,357,"5,01%",
,,,,,,,,,,,INDEPENDANT,MOUSTAPHA FALL,1 214,"17,05%",
,,,,,,,,,,,RHDP,TIMITE SAHINDOU,3 038,"42,66%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KEITA LASSINA,123,"1,73%",
,,,,,,,,,,,INDEPENDANT,FOFANA GAOUSSOU,2 023,"28,41%",
,,,,,,,,,,,PDCI-RDA,ALI BAKAYOKO,195,"2,74%",
