REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
DISTRICT AUTONOME D'ABIDJAN,041,"COCODY, COMMUNE",667,279 785,28279,"10,11%",501,27 778,241,"0,87%",RHDP,UNE COTE DIVOIRE EN PAIX PROSPERE ET SOLIDAIRE,9 269,"33,37%",
,,,,,,,,,,,INDEPENDANT,COCODY SMART,34,"0,12%",
,,,,,,,,,,,INDEPENDANT,ALLIANCE NOUVELLE POUR COCODY,133,"0,48%",
,,,,,,,,,,,INDEPENDANT,NOUVELLE VISION POUR COCODY,90,"0,32%",
,,,,,,,,,,,INDEPENDANT,LES ELUS AU SERVICE DU PEUPLE,667,"2,40%",
,,,,,,,,,,,INDEPENDANT,NOUVEL ESPOIR DE COCODY,184,"0,66%",
,,,,,,,,,,,AIDE,ENSEMBLE POUR LE DEVELOPPEMENT,110,"0,40%",
,,,,,,,,,,,ADCI,"AUJOURDHUI DEMAIN, LA COTE DIVOIRE (ADCI)",1 682,"6,06%",
,,,,,,,,,,,INDEPENDANT,UNE IDEE POUR COCODY,105,"0,38%",
,,,,,,,,,,,INDEPENDANT,PRO_COTE DIVOIRE POUR UN PARLEMENT DEFENSEUR DES POPULATIONS,46,"0,17%",
,,,,,,,,,,,INDEPENDANT,LA SOUVERAINTE AU SERVICE DU DEVELOPPEMENT DU CAPITAL HUMAIN,165,"0,59%",
,,,,,,,,,,,INDEPENDANT,NOUVELLE VOIX,280,"1,01%",
,,,,,,,,,,,INDEPENDANT,POUR LE PEUPLE,32,"0,12%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LE CÔTE-DIVOIRE,14 740,"53,06%",ELU(E)
,042,"KOUMASSI, COMMUNE",429,176 954,33090,"18,70%",853,32 237,328,"1,02%",RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",23 968,"74,35%",ELU(E)
,,,,,,,,,,,INDEPENDANT,GENERATIONS AVENIR,1 085,"3,37%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,6 856,"21,27%",
,043,"MARCORY, COMMUNE",268,112 183,26325,"23,47%",873,25 452,197,"0,77%",INDEPENDANT,POUR UN MARCORY NOUVEAU,279,"1,10%",
,,,,,,,,,,,INDEPENDANT,AMAGOU ZAHUI 2025,493,"1,94%",
,,,,,,,,,,,INDEPENDANT,PROGRES RIGUEUR EXCELLENCE,58,"0,23%",
,,,,,,,,,,,ADCI,"ADCI (AUJOURDHUI ET DEMAIN, LA CÔTE DIVOIRE)",296,"1,16%",
,,,,,,,,,,,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDERE",13 996,"54,99%",ELU(E)
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,10 133,"39,81%",
,044,"PLATEAU, COMMUNE",228,97 933,22944,"23,43%",998,21 946,181,"0,82%",RHDP,OUATTARA DRAMANE,8 864,"40,39%",
,,,,,,,,,,,INDEPENDANT,FOFANA SINDOU,152,"0,69%",
,,,,,,,,,,,PDCI-RDA,EHOUO JACQUES GABRIEL,12 749,"58,09%",ELU(E)
,045,"PORT-BOUET, COMMUNE",352,145 545,24959,"17,15%",994,23 965,272,"1,13%",INDEPENDANT,LA FORCE DU PEUPLE,99,"0,41%",
,,,,,,,,,,,ADCI,"AUJOURDHUI ET DEMAIN, LA COTE DIVOIRE",298,"1,24%",
,,,,,,,,,,,RHDP,"UNE COTE DIVOIRE EN PAIX ,PROPERE ET SOLIDAIRE",8 197,"34,20%",
,,,,,,,,,,,INDEPENDANT,VAINCRE LA PRECARITE,269,"1,12%",
,,,,,,,,,,,INDEPENDANT,ESPOIR PORT BOUET,116,"0,48%",
,,,,,,,,,,,INDEPENDANT,ENSSEMBLE ON TOURNE LA PAGE,206,"0,86%",
,,,,,,,,,,,INDEPENDANT,ALLIANCE NOUVELLE GENERATION DES ELUS POLITIQUES DE COTE DIVOIRE,32,"0,13%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,14 476,"60,40%",ELU(E)
