REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
MARAHOUE,137,"KOUETINFLA ET SINFRA, COMMUNES ET SOUS-PREFECTURES",147,48 502,14650,"30,20%",350,14 300,106,"0,74%",INDEPENDANT,MA BI MONOUIN STEPHANE DE-DEN,1 023,"7,15%",
,,,,,,,,,,,RHDP,SATI LOU GOLENAN MADELEINE EPSE TOUVOLI,7 447,"52,08%",ELU(E)
,,,,,,,,,,,INDEPENDANT,SEYBOU DIARRA,154,"1,08%",
,,,,,,,,,,,INDEPENDANT,KOFFI YAO APPOLINAIRE,173,"1,21%",
,,,,,,,,,,,INDEPENDANT,BOTTY BI NEDRO SERGE,2 913,"20,37%",
,,,,,,,,,,,INDEPENDANT,KONE NGOLO LASSINA KONE,123,"0,86%",
,,,,,,,,,,,INDEPENDANT,YEO SOULEYMANE OUATTARA,313,"2,19%",
,,,,,,,,,,,INDEPENDANT,KOUYATE SANAKRO,741,"5,18%",
,,,,,,,,,,,GP-PAIX,SERY BI BOLY EMMANUEL,95,"0,66%",
,,,,,,,,,,,CODE,BOTTY KOMON ALEXIS,97,"0,68%",
,,,,,,,,,,,PDCI-RDA,TCHEL-BI LAHORE GHISLAIN,910,"6,36%",
,,,,,,,,,,,INDEPENDANT,GOORE BI GNAMIEN WILLY TAUNIN,205,"1,43%",
,138,"GOHITAFLA, IRIEFLA, MAMINIGUI, COMMUNES ET SOUS-PREFECTURES",69,22 447,6845,"30,49%",119,6 726,94,"1,40%",UDP,GBAMENIN BI TRA,1 209,"17,98%",
,,,,,,,,,,,INDEPENDANT,DJE BI GOHAI AUDRIC-LANDRY,1 055,"15,69%",
,,,,,,,,,,,INDEPENDANT,DJE EPSE TIE BI LOU TRA,214,"3,18%",
,,,,,,,,,,,RHDP,ZAMBLE NAYA NAOMI JARVIS,3 037,"45,15%",ELU(E)
,,,,,,,,,,,INDEPENDANT,YOUAN BI TRAZIE BERTRAND ATHANASE,761,"11,31%",
,,,,,,,,,,,ADCI,IRIE BI ZOU FULBERT,13,"0,19%",
,,,,,,,,,,,PDCI-RDA,DJE BI SAMEDI BERNARD ZEHOUA,138,"2,05%",
,,,,,,,,,,,MGC,IRIE BI IRIE AMBROISE,67,"1,00%",
,,,,,,,,,,,INDEPENDANT,DIDI BI TRA SYLVAIN,138,"2,05%",
,139,"KANZRA, VOUEBOUFLA, ZANZRA, COMMUNES ET SOUS-PREFECTURES, ZUENOULA, SOUS-PREFECTURE",88,23 114,7950,"34,39%",251,7 699,162,"2,10%",INDEPENDANT,SEHI BI KOUE ALPHONSE,2 210,"28,71%",ELU(E)
,,,,,,,,,,,RHDP,DJO BI MIZAN HONORE DES AMIS,1 720,"22,34%",
,,,,,,,,,,,INDEPENDANT,ZA BI ZAN MARCEL PAGNOL,322,"4,18%",
,,,,,,,,,,,INDEPENDANT,VAMI BI NENE JOSEPH,1 841,"23,91%",
,,,,,,,,,,,INDEPENDANT,YOUAN BI TRA JEAN-CLAUDE,878,"11,40%",
,,,,,,,,,,,ADCI,ZOHOU BI NENON HONORE,223,"2,90%",
,,,,,,,,,,,INDEPENDANT,IRIE BI ZORO SAMUEL,178,"2,31%",
,,,,,,,,,,,CODE,TRA BI CA PAUL,51,"0,66%",
,,,,,,,,,,,INDEPENDANT,SIKA BI BOLOU BERENGER,114,"1,48%",
