REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
BAFING,009,"BOOKO, BOROTOU, MAHANDOUGOU ET NIOKOSSO, COMMUNES ET SOUS-PREFECTURES",77,17 626,11919,"67,62%",59,11 860,158,"1,33%",INDEPENDANT,DIABATE MAMADOU,75,"0,63%",
,,,,,,,,,,,PDCI-RDA,SOUMAHORO SOULEYMANE,408,"3,44%",
,,,,,,,,,,,RHDP,DIOMANDE LASSINA,11 219,"94,60%",ELU(E)
,010,"KORO, COMMUNE ET SOUS-PREFECTURE",42,13 092,6583,"50,28%",117,6 466,74,"1,14%",INDEPENDANT,BAKAYOKO KARAMOKO,2 894,"44,76%",
,,,,,,,,,,,RHDP,SOUMAHORO YOUSSOUF,3 498,"54,10%",ELU(E)
,011,"GBELO, GOUEKAN, KOONAN, OUANINOU, SABOUDOUGOU ET SANTA, COMMUNES ET SOUS-PREFECTURES",106,25 316,15353,"60,65%",215,15 138,208,"1,37%",CNJB-ADO,DIOMANDE AMARA,68,"0,45%",
,,,,,,,,,,,INDEPENDANT,BAMBA MORY,2 724,"17,99%",
,,,,,,,,,,,RHDP,MAMADOU SANOGO,6 026,"39,81%",ELU(E)
,,,,,,,,,,,INDEPENDANT,BAMBA MAMADOU,123,"0,81%",
,,,,,,,,,,,INDEPENDANT,DIOMANDE ABDOUL AHMARA,5 989,"39,56%",
,012,"DIOMAN, FOUNGBESSO ET GUINTEGUELA, COMMUNES ET SOUS-PREFECTURES, TOUBA, SOUS PREFECTURE",96,21 299,13342,"62,64%",196,13 146,141,"1,07%",INDEPENDANT,MEMAN BAMBA,1 524,"11,59%",
,,,,,,,,,,,INDEPENDANT,ALIDJOU TOURE,3 256,"24,77%",
,,,,,,,,,,,INDEPENDANT,KONE MAMADOU,2 287,"17,40%",
,,,,,,,,,,,INDEPENDANT,MIAMAN KONE,1 098,"8,35%",
,,,,,,,,,,,RHDP,DIOMANDE VASSADIA,3 613,"27,48%",ELU(E)
,,,,,,,,,,,INDEPENDANT,MOUSSA BAMBA,1 227,"9,33%",
,013,"TOUBA, COMMUNE",47,14 962,7151,"47,79%",54,7 097,75,"1,06%",RHDP,SANOGO MOUSSA,4 962,"69,92%",ELU(E)
,,,,,,,,,,,INDEPENDANT,BAMBA ANZOUMANA,2 060,"29,03%",
BAGOUE,014,"BAYA, KASSERE ET SIEMPURGO, COMMUNES ET SOUS-PREFECTURES",63,19 315,12802,"66,28%",330,12 472,204,"1,64%",RHDP,COULIBALY FONONNA CHEICK AHMED,5 606,"44,95%",ELU(E)
,,,,,,,,,,,INDEPENDANT,OUATTARA GUIBESSONGUI ISSA,4 488,"35,98%",
,,,,,,,,,,,INDEPENDANT,COULIBALY LASSINAN,1 576,"12,64%",
,,,,,,,,,,,INDEPENDANT,COULIBALY ZIE SOUMAILA,598,"4,79%",
,015,"BOUNDIALI ET GANAONI, COMMUNES ET SOUS-PREFECTURES",106,36 892,36846,"99,88%",0,36 846,0,"0,00%",RHDP,KONE MARIATOU,36 846,"100,00%",ELU(E)
,016,"BLESSEGUE ET KOUTO, COMMUNES ET SOUS-PREFECTURES",59,19 903,11808,"59,33%",70,11 738,215,"1,83%",INDEPENDANT,TRAORE DON SAMUEL,3 692,"31,45%",
,,,,,,,,,,,RHDP,KONE NABAGNE BRUNO,7 831,"66,71%",ELU(E)
,017,"GBON, KOLIA ET SIANHALA, COMMUNES ET SOUS-PREFECTURES",88,31 360,20373,"64,96%",183,20 190,378,"1,87%",INDEPENDANT,KONE KARIMOU,1 242,"6,15%",
,,,,,,,,,,,INDEPENDANT,BALLO NOUHO,10 331,"51,17%",ELU(E)
,,,,,,,,,,,RHDP,TOURE ALPHA YAYA,8 239,"40,81%",
,018,"DEBETE, KANAKONO, PAPARA ET TENGRELA, COMMUNES ET SOUS-PREFECTURES",109,36 904,22247,"60,28%",221,22 026,197,"0,89%",INDEPENDANT,KONE SEYDOU,274,"1,24%",
,,,,,,,,,,,INDEPENDANT,DIARRASSOUBA SOUMAILA,11 811,"53,62%",ELU(E)
,,,,,,,,,,,INDEPENDANT,DIARRASSOUBA ABDOULAYE,3 070,"13,94%",
,,,,,,,,,,,RHDP,TRAORE MARIAME,6 674,"30,30%",
