REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
,073,"APPIMANDOUM, BONDOUKOU ET PINDA-BOROKO, COMMUNES ET SOUS-PREFECTURES",155,52 876,17219,"32,56%",394,16 825,212,"1,26%",RHDP,"UNE CÔTE D'IVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",14 746,"87,64%",ELU(E)
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,1 161,"6,90%",
,,,,,,,,,,,INDEPENDANT,BONDOUKOU EN MARCHE,706,"4,20%",
,074,"BONDO, LAOUDI-BA, SAPLI-SEPINGO, TAOUDI ET YEZIMALA, COMMUNES ET SOUS-PREFECTURES",122,35 843,18753,"52,32%",403,18 350,339,"1,85%",INDEPENDANT,ELITES DE LA RELEVE,255,"1,39%",
,,,,,,,,,,,INDEPENDANT,"UN JOUR, IL FERA JOUR",5 262,"28,68%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,888,"4,84%",
,,,,,,,,,,,INDEPENDANT,"LE PARLEMENT AUX PARLEMENTAIRES, LES HOMMES QU'IL FAUT À LA PLACE QU'IL FAUT",934,"5,09%",
,,,,,,,,,,,INDEPENDANT,CONCORDE POUR LE RENOUVEAU DU GONTOUGO,3 641,"19,84%",
,,,,,,,,,,,RHDP,"UNE COTE D'IVOIRE EN PAIX ,PROSPERE ET SOLIDAIRE",7 031,"38,32%",ELU(E)
,075,"GOUMERE ET TABAGNE, COMMUNES ET SOUS-PREFECTURES",63,17 425,9493,"54,48%",376,9 117,124,"1,36%",FPI,N'GUETTIA YAO KOUMAN,57,"0,63%",
,,,,,,,,,,,PDCI-RDA,SAWIRI YAO YEBOUA,1 678,"18,41%",
,,,,,,,,,,,INDEPENDANT,OUATTARA ABOU,1 725,"18,92%",
,,,,,,,,,,,P.B.J.V,KOSSONOU KOUADIO HENRI QUATORZE,219,"2,40%",
,,,,,,,,,,,INDEPENDANT,DIABAGATE YEBOUA ADAMAN,1 961,"21,51%",
,,,,,,,,,,,INDEPENDANT,COULIBALY NANGA ISMAEL,212,"2,33%",
,,,,,,,,,,,INDEPENDANT,YEBOUA KOUAKOU KOUMAN BENOIT,19,"0,21%",
,,,,,,,,,,,RHDP,DIABAGATE MOUSSA,3 122,"34,24%",ELU(E)
,076,"SOROBANGO ET TAGADI, COMMUNES ET SOUS-PREFECTURES",52,16 336,9847,"60,28%",162,9 685,117,"1,21%",PDCI-RDA,HIEN SIE GEORGES BENEDICT,120,"1,24%",
,,,,,,,,,,,INDEPENDANT,KRA KOBENAN LAZARE,2 953,"30,49%",
,,,,,,,,,,,INDEPENDANT,KOUAME YAO KOUMAN,257,"2,65%",
,,,,,,,,,,,INDEPENDANT,BIFFITE HOLLO DAH,232,"2,40%",
,,,,,,,,,,,INDEPENDANT,SOULEYMANE OUATTARA,2 883,"29,77%",
,,,,,,,,,,,RHDP,KOUASSI KOFFI KRA PAULIN,3 123,"32,25%",ELU(E)
,077,"BOAHIA ET KOUASSI-DATEKRO, COMMUNES ET SOUS-PREFECTURES",52,13 065,7563,"57,89%",195,7 368,78,"1,06%",INDEPENDANT,YAO KOUASSI  ALI,262,"3,56%",
,,,,,,,,,,,INDEPENDANT,EBA YAO HAROUNA,1 862,"25,27%",
,,,,,,,,,,,PDCI-RDA,KOFFI TEHUA,188,"2,55%",
,,,,,,,,,,,UNPR,MOUTAYE AZOUMANA,2 571,"34,89%",ELU(E)
,,,,,,,,,,,RHDP,SONAN JEAN-FRANCOIS DONALD,2 407,"32,67%",
