REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
TONKPI,192,"SIPILOU ET YORODOUGOU, COMMUNES ET SOUS-PREFECTURES",47,14 298,6588,"46,08%",84,6 504,88,"1,35%",INDEPENDANT,DIOMANDE DRO JOEL,1 865,"28,67%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KEITA ADAMA,690,"10,61%",
,,,,,,,,,,,INDEPENDANT,DIOMANDE JEAN-LOUTY,1 570,"24,14%",
,,,,,,,,,,,RHDP,TOKPA MANINGA,1 667,"25,63%",
,,,,,,,,,,,INDEPENDANT,SOPOUDEU ONGNEU SOLANGE,118,"1,81%",
,,,,,,,,,,,INDEPENDANT,LOTTRO SABIAN VALLEY MINSOU,311,"4,78%",
,,,,,,,,,,,INDEPENDANT,YORO LOUTY REBECCA,195,"3,00%",
,193,"DALEU, DANANE, GBON-HOUYE, KOUAN-HOULE ET SEILEU, COMMUNES ET SOUS-PREFECTURES",240,64 623,18599,"28,78%",715,17 884,207,"1,16%",INDEPENDANT,AGIR ENSEMBLE POUR LE NIMBA,6 685,"37,38%",ELU(E)
,,,,,,,,,,,INDEPENDANT,TRAVAILLONS POUR BATIR DANANE,721,"4,03%",
,,,,,,,,,,,INDEPENDANT,ACTION SOLIDARITE POUR DANANE,729,"4,08%",
,,,,,,,,,,,INDEPENDANT,ENSEMBLE POUR LE DEVELOPPEMENT DE DANANE,2 283,"12,77%",
,,,,,,,,,,,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",5 597,"31,30%",
,,,,,,,,,,,INDEPENDANT,LA JEUNESSE DEBOUT POUR LE DEVELOPPEMENT,672,"3,76%",
,,,,,,,,,,,INDEPENDANT,AIDONS NOS PARENTS,108,"0,60%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,882,"4,93%",
,194,"MAHAPLEU ET ZONNEU, COMMUNES ET SOUS-PREFECTURES",80,22 392,8583,"38,33%",457,8 126,108,"1,33%",INDEPENDANT,TOGON OULEI PIERRE,1 664,"20,48%",
,,,,,,,,,,,INDEPENDANT,TIA GOUET BLAISE,340,"4,18%",
,,,,,,,,,,,INDEPENDANT,GOUET CHARLEMAGNE,1 387,"17,07%",
,,,,,,,,,,,INDEPENDANT,GOMUN DOH EMILE CHARLES LEA,1 295,"15,94%",
,,,,,,,,,,,RHDP,KEGBAN KEGBAN BERNARD,3 138,"38,62%",ELU(E)
,,,,,,,,,,,INDEPENDANT,TIA SEUNA ANGELINE,68,"0,84%",
,,,,,,,,,,,INDEPENDANT,DOUMBOUYA MOUHAMED,90,"1,11%",
,,,,,,,,,,,INDEPENDANT,SREU ZOTAHON CYPRIEN,36,"0,44%",
,195,"BOGOUINE, LOGOUALE, YAPLEU ET ZIOGOUINE, COMMUNES ET SOUS-PREFECTURES",66,20 102,8315,"41,36%",331,7 984,78,"0,98%",INDEPENDANT,SADIA KOUI SALOMON,516,"6,46%",
,,,,,,,,,,,INDEPENDANT,DION NESTOR,881,"11,03%",
,,,,,,,,,,,INDEPENDANT,OUEHI FEH BIAYO GISELE EPSE KOFFI,2 681,"33,58%",ELU(E)
,,,,,,,,,,,INDEPENDANT,YAKE EVARISTE,570,"7,14%",
,,,,,,,,,,,INDEPENDANT,HONGNIN EVARISTE,443,"5,55%",
,,,,,,,,,,,RHDP,SERY PASCAL,2 339,"29,30%",
,,,,,,,,,,,INDEPENDANT,BLY SEMONDA GISELE,286,"3,58%",
,,,,,,,,,,,INDEPENDANT,SIABA ANTOINE-CONSTANT,66,"0,83%",
,,,,,,,,,,,PDCI-RDA,DAN GONSAN CHARLES VALENTINI,124,"1,55%",
