REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
SUD-COMOE,182,"BONGO ET BONOUA, COMMUNES ET SOUS-PREFECTURES",152,56 912,12764,"22,43%",325,12 439,50,"0,40%",INDEPENDANT,MIESSAN DANIEL,1 599,"12,85%",
,,,,,,,,,,,RHDP,TRAORE ABDOUL AZIZ,2 018,"16,22%",
,,,,,,,,,,,ADCI,BOKA ANOUMAN ANGE MICHEL,171,"1,37%",
,,,,,,,,,,,EDS,ECRA ELIDJE JOSEPH,709,"5,70%",
,,,,,,,,,,,INDEPENDANT,AYEMOU ABLI PATRICE,220,"1,77%",
,,,,,,,,,,,PDCI-RDA,KOUA MAMAN CECILE EPOUSE ADJE,5 893,"47,38%",ELU(E)
,183,"GRAND-BASSAM, COMMUNE ET SOUS-PREFECTURE",155,62 844,9830,"15,64%",113,9 717,93,"0,96%",INDEPENDANT,DA GUY RICHARD,594,"6,11%",
,,,,,,,,,,,INDEPENDANT,SYLLA IBRAHIM,239,"2,46%",
,,,,,,,,,,,INDEPENDANT,BONI KOFFI MICHEL,164,"1,69%",
,,,,,,,,,,,RHDP,COULIBALY SERIBA,5 036,"51,83%",ELU(E)
,,,,,,,,,,,INDEPENDANT,YAO RENE KOUAKOU,98,"1,01%",
,,,,,,,,,,,INDEPENDANT,LOUA NYELEKE FELIX,774,"7,97%",
,,,,,,,,,,,PDCI-RDA - EDS,OUEGNIN GEORGES ARMAND ALEXIS,2 719,"27,98%",
,184,"NOE, NOUAMOU ET TIAPOUM, COMMUNES ET SOUS-PREFECTURES",62,17 411,8000,"45,95%",261,7 739,42,"0,54%",RHDP,BAKARY KAMARA,2 933,"37,90%",
,,,,,,,,,,,INDEPENDANT,SANGARE ISSA,3 360,"43,42%",ELU(E)
,,,,,,,,,,,INDEPENDANT,ANDI ADOUALOU ROLAND,740,"9,56%",
,,,,,,,,,,,INDEPENDANT,KONATE SEYDOU,522,"6,75%",
,,,,,,,,,,,INDEPENDANT,DONGO ABDOUL FATAOU,103,"1,33%",
,,,,,,,,,,,ADCI,SOBO ELIAMON N'HINZAN,39,"0,50%",
TCHOLOGO,185,"BILIMONO, KONG ET SIKOLO, COMMUNES ET SOUS-PREFECTURES",103,25 546,23651,"92,58%",26,23 625,11,"0,05%",RHDP,"UNE COTE DIVOIRE EN PAIX,PROSPERE ET SOLIDAIRE",23 614,"99,95%",ELU(E)
,186,"FERKESSEDOUGOU,COMMUNE",84,33 780,12675,"37,52%",239,12 436,80,"0,64%",INDEPENDANT,SANOGO MASSANPIENWORO SEYDOU,1 781,"14,32%",
,,,,,,,,,,,RHDP,KONE LASSINA,10 575,"85,04%",ELU(E)
,187,"FERKESSEDOUGOU, SOUS PREFECTURE, KOUMBALA ET TOGONIERE, COMMUNES ET SOUS-PREFECTURES",106,31 066,26516,"85,35%",91,26 425,82,"0,31%",RHDP,SILUE GNENEYERI JACQUES,26 343,"99,69%",ELU(E)
,188,"DIAWALA, NIELLE, ET TOUMOUKRO, COMMUNES ET SOUS-PREFECTURES",131,43 211,40576,"93,90%",83,40 493,87,"0,21%",RHDP,SANOGO MAMADOU,40 406,"99,79%",ELU(E)
,189,"KAOUARA ET OUANGOLODOUGOU, COMMUNES ET SOUS-PREFECTURES",78,27 287,19350,"70,91%",163,19 187,141,"0,73%",RHDP,TRAORE DRISSA,19 046,"99,27%",ELU(E)
TONKPI,190,"BIANKOUMA, BLAPLEU, KPATA ET SANTA, COMMUNES ET SOUS-PREFECTURES",113,37 201,14810,"39,81%",113,14 697,150,"1,02%",INDEPENDANT,GBOGBO KANDO,1 401,"9,53%",
,,,,,,,,,,,RHDP,GUEI SINGA MIREILLE CHANTAL,11 734,"79,84%",ELU(E)
,,,,,,,,,,,PDCI-RDA,SOUMAHORO DJENEBA,1 412,"9,61%",
,191,"GBANGBEGOUINE, GBONNE ET GOUINE, COMMUNES ET SOUS-PREFECTURES",60,15 101,7589,"50,25%",239,7 350,94,"1,28%",RHDP,WOI MELA GASTON AIME,3 693,"50,24%",ELU(E)
,,,,,,,,,,,INDEPENDANT,GUEI SONGUY NDONKA EVRARD,415,"5,65%",
,,,,,,,,,,,INDEPENDANT,DRO BAUDOUIN WILFRIED,2 276,"30,97%",
,,,,,,,,,,,INDEPENDANT,VEHI ALPHONSE,119,"1,62%",
,,,,,,,,,,,FPI,GOUE JULES,467,"6,35%",
,,,,,,,,,,,INDEPENDANT,BLE HUYO KANO,182,"2,48%",
,,,,,,,,,,,INDEPENDANT,ZOH ZRANWE JEAN YVES,104,"1,41%",
