REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
MORONOU,161,"ANOUMABA ET TIEMELEKRO, COMMUNES ET SOUS-PREFECTURES",65,19 083,8372,"43,87%",317,8 055,80,"0,99%",RHDP,KOUAKOU DAPA YAO KOSSONOU MARCELLIN,2 862,"35,53%",
,,,,,,,,,,,ADCI,AKA NZI SEVERIN,121,"1,50%",
,,,,,,,,,,,FPI,KOUAME KONGO GREGOIRE,1 265,"15,70%",
,,,,,,,,,,,INDEPENDANT,NIAMIAN N'GUESSAN RAOUL THIBAUT,732,"9,09%",
,,,,,,,,,,,PDCI-RDA,AKA DESQUITH AMBROISE,2 995,"37,18%",ELU(E)
,162,"ASSAHARA ET M'BATTO, COMMUNES ET SOUS-PREFECTURES",83,27 427,9770,"35,62%",446,9 324,59,"0,63%",INDEPENDANT,KANGA KACOU ANTOINE,3 346,"35,89%",ELU(E)
,,,,,,,,,,,UDCY,KOUADIO DOUCA MARCELLIN,67,"0,72%",
,,,,,,,,,,,RHDP,NIAMIAN KOKOLO JEAN-PIERRE,2 604,"27,93%",
,,,,,,,,,,,INDEPENDANT,COULIBALY ABIBA EPSE COULIBALY,56,"0,60%",
,,,,,,,,,,,INDEPENDANT,MOREAU KABLAN BILE CHARLES ARMEL,223,"2,39%",
,,,,,,,,,,,ADCI,KOUAME DJA ESSAN FRANCOIS,361,"3,87%",
,,,,,,,,,,,INDEPENDANT,KOUAME TIEMELE,72,"0,77%",
,,,,,,,,,,,PDCI-RDA,AKA AMANAN VERONIQUE,2 536,"27,20%",
NAWA,148,"DABOUYO ET GUEYO, COMMUNES ET SOUS-PREFECTURES",73,19 218,5564,"28,95%",202,5 362,50,"0,93%",INDEPENDANT,KOFFI DJAH DANIEL,105,"1,96%",
,,,,,,,,,,,INDEPENDANT,SALIA BLE SOLANGE,117,"2,18%",
,,,,,,,,,,,INDEPENDANT,BONI TANO N'GUESSAN NOELLE MARIE EPOUSE EKPONON,1 337,"24,93%",
,,,,,,,,,,,GP-PAIX,KANGAH AMANI SERGE,174,"3,25%",
,,,,,,,,,,,RHDP,ZEKRE ZADI CHRIST-YVAN,1 597,"29,78%",ELU(E)
,,,,,,,,,,,INDEPENDANT,DOGUI MARIE-NOELLE,1 256,"23,42%",
,,,,,,,,,,,ADCI,KOUADIO KONAN CALVIN,57,"1,06%",
,,,,,,,,,,,PDCI-RDA,BLE SAILLY FELIX,669,"12,48%",
,149,"BUYO ET DAPEOUA, COMMUNES ET SOUS-PREFECTURES",115,27 640,6852,"24,79%",323,6 529,99,"1,52%",RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",2 911,"44,59%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,3 448,"52,81%",ELU(E)
,,,,,,,,,,,INDEPENDANT,"POUR LE DEVELOPPEMENT DE BUYO, JE VOTE UTILE",71,"1,09%",
,150,"GNAMANGUI, MEAGUI ET OUPOYO, COMMUNES ET SOUS-PREFECTURES",214,57 090,12968,"22,72%",671,12 297,136,"1,11%",INDEPENDANT,ENSEMBLE POUR MEAGUI,2 286,"18,59%",
,,,,,,,,,,,RHDP,"UNE CÔTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",2 877,"23,40%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,6 881,"55,96%",ELU(E)
,,,,,,,,,,,INDEPENDANT,CITOYEN ENGAGE POUR LE PEUPLE,117,"0,95%",
,151,"GRAND-ZATIRY, COMMUNES ET SOUS-PREFECTURE",70,19 273,6190,"32,12%",244,5 946,49,"0,82%",INDEPENDANT,SAYERE MARTIAL OUPOH,1 006,"16,92%",
,,,,,,,,,,,INDEPENDANT,SAHIFO ALIGBA ARNAUD,432,"7,27%",
,,,,,,,,,,,INDEPENDANT,DJEDJE MADOU JOEL,199,"3,35%",
,,,,,,,,,,,RHDP,ZAKO OUPO ESAIE,1 559,"26,22%",
,,,,,,,,,,,INDEPENDANT,DOBO RENAUD MARCEL ANDREA,171,"2,88%",
,,,,,,,,,,,INDEPENDANT,SERI HORTENSE EMMA,619,"10,41%",
,,,,,,,,,,,PDCI-RDA,GOBO YOKORE BERNARD,1 886,"31,72%",ELU(E)
,,,,,,,,,,,INDEPENDANT,SERY KOBOU FABRICE,25,"0,42%",
