REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
MARAHOUE,133,"BEGBESSOU, N'DOUFFOUKANKRO ET TIBEITA, COMMUNES ET SOUS-PREFECTURES, BOUAFLE, SOUS-PREFECTURE",133,36 006,10954,"30,42%",348,10 606,187,"1,76%",INDEPENDANT,HOURA KOUASSI MARC,4 392,"41,41%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KOUADIO KOUADIO AURELIEN,499,"4,70%",
,,,,,,,,,,,RHDP,KOUASSI ALLOMO FLORE FAITAY,2 522,"23,78%",
,,,,,,,,,,,INDEPENDANT,GOORE BI GOLE JEAN BAPTISTE,303,"2,86%",
,,,,,,,,,,,INDEPENDANT,KOFFI LOUKOU LEON,2 703,"25,49%",
,134,"BOUAFLE, COMMUNE",113,43 844,12123,"27,65%",180,11 943,90,"0,75%",INDEPENDANT,KAMAGATE MOUSSA EL FADHEL,131,"1,10%",
,,,,,,,,,,,INDEPENDANT,NDIA FREDERIK,556,"4,66%",
,,,,,,,,,,,INDEPENDANT,COWPPLI BONY AFFOUE ELISABETH,209,"1,75%",
,,,,,,,,,,,INDEPENDANT,TIE BI IRIE MODESTE,90,"0,75%",
,,,,,,,,,,,INDEPENDANT,DJE BI TCHAN,254,"2,13%",
,,,,,,,,,,,INDEPENDANT,BLE BI BONAVENTURE,106,"0,89%",
,,,,,,,,,,,INDEPENDANT,OUATTARA IBRAHIM,146,"1,22%",
,,,,,,,,,,,RHDP,KONE ADAMA,6 712,"56,20%",ELU(E)
,,,,,,,,,,,ADCI,TIBE BI N'GUESSAN MARCEL,190,"1,59%",
,,,,,,,,,,,INDEPENDANT,OUEDRAOGO AMIDOU,24,"0,20%",
,,,,,,,,,,,PDCI-RDA,KOFFI SERGES AZI,2 511,"21,02%",
,,,,,,,,,,,INDEPENDANT,KONE ISSIAKA,924,"7,74%",
,135,"BONON ET ZAGUIETA, COMMUNES ET SOUS-PREFECTURES",112,35 059,8815,"25,14%",175,8 640,109,"1,26%",RHDP,YACOUBA KONE,5 653,"65,43%",ELU(E)
,,,,,,,,,,,INDEPENDANT,ZORO BI BALLO FRANCK,216,"2,50%",
,,,,,,,,,,,PDCI-RDA,TRAZIE BI GUESSAN,2 570,"29,75%",
,,,,,,,,,,,MGC,KOUAME BI BLI ROBERT,92,"1,06%",
,136,"BAZRE ET KONONFLA, COMMUNES ET SOUS-PREFECTURES",82,20 818,6995,"33,60%",167,6 828,59,"0,86%",INDEPENDANT,KEITA ABDOULAYE,849,"12,43%",
,,,,,,,,,,,CNDCI,KONAN BLE OSWALD ANATOLE N'KONIAN,477,"6,99%",
,,,,,,,,,,,INDEPENDANT,KOUAKOU KOUADIO PATRICE,284,"4,16%",
,,,,,,,,,,,INDEPENDANT,KOUAKOU MESMER BECANTY,1 026,"15,03%",
,,,,,,,,,,,INDEPENDANT,KOUADIO ATOBE JACOB ANDERSON,388,"5,68%",
,,,,,,,,,,,INDEPENDANT,YAO AFFOUE MARINA,236,"3,46%",
,,,,,,,,,,,INDEPENDANT,KOUASSI BI KOUASSI GUILLAUME,135,"1,98%",
,,,,,,,,,,,RHDP,BEMA COULIBALY,2 402,"35,18%",ELU(E)
,,,,,,,,,,,INDEPENDANT,CAHIE KAKOU GUY JOEL,17,"0,25%",
,,,,,,,,,,,INDEPENDANT,KOFFI AHOU MICHELE DEBORAH KOUADIO,64,"0,94%",
,,,,,,,,,,,INDEPENDANT,OUADI NDRI LOU YALOU RACHELLE,353,"5,17%",
,,,,,,,,,,,INDEPENDANT,TOUVOLI BI KOUADIO MARTIAL,54,"0,79%",
,,,,,,,,,,,PDCI-RDA,GAULLY SAHOUA ANTOINE SYLVAIN PEPIN,484,"7,09%",
