REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
HAUT- SASSANDRA,103,"IBOGUHE ET NAMANE, COMMUNES ET SOUS-PREFECTURES",68,19 888,6218,"31,27%",156,6 062,76,"1,25%",INDEPENDANT,GOKOU YODE PATRICK,1 793,"29,58%",
,,,,,,,,,,,INDEPENDANT,SERY GBOGUHE RICHARD,308,"5,08%",
,,,,,,,,,,,INDEPENDANT,LAGO DONWAHI CHARLES,133,"2,19%",
,,,,,,,,,,,MNRP,LOUOBA MICHAEL,727,"11,99%",
,,,,,,,,,,,RHDP,TRAORE DOTEME,1 950,"32,17%",ELU(E)
,,,,,,,,,,,INDEPENDANT,PALLE PALLE ISIDORE,91,"1,50%",
,,,,,,,,,,,GP-PAIX,KOUAKOU KOFFI,44,"0,73%",
,,,,,,,,,,,INDEPENDANT,YOBOUET KOUAKOU DIEUDONNE,49,"0,81%",
,,,,,,,,,,,PDCI-RDA,DIBAHI DODO AMEDEE,891,"14,70%",
,104,"NAHIO ET SAIOUA, COMMUNES ET SOUS-PREFECTURES",109,33 075,13469,"40,72%",280,13 189,162,"1,23%",CODE,SERI LANDRY,342,"2,59%",
,,,,,,,,,,,INDEPENDANT,SOKORA SOKORA ARMAND,216,"1,64%",
,,,,,,,,,,,RHDP,LOKPO BRAHIMA,9 209,"69,82%",ELU(E)
,,,,,,,,,,,INDEPENDANT,YOKOZO MARINA ANGELE,76,"0,58%",
,,,,,,,,,,,MGC,MADI BOUABRE,258,"1,96%",
,,,,,,,,,,,PDCI-RDA,DJEDJE MADY ALPHONSE,2 926,"22,19%",
,105,"BAZRA NATILS, DANANON, KETRO·BASSAM ET VAVOUA, COMMUNES ET SOUS·PREFECTURES",139,40 972,12481,"30,46%",430,12 051,428,"3,55%",INDEPENDANT,VAVOUA ENSEMBLE C'EST POSSIBLE,2 990,"24,81%",
,,,,,,,,,,,INDEPENDANT,ENSEMBLE POUR LE DEVELOPPEMENT,205,"1,70%",
,,,,,,,,,,,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",4 576,"37,97%",ELU(E)
,,,,,,,,,,,INDEPENDANT,LE CHANGEMENT C'EST MAINTENANT,324,"2,69%",
,,,,,,,,,,,INDEPENDANT,"VAVOUA, JEUNESSE DEBOUT",297,"2,46%",
,,,,,,,,,,,INDEPENDANT,ENSEMBLE POUR LA RELEVE,58,"0,48%",
,,,,,,,,,,,INDEPENDANT,VAVOUA LE CHANGEMENT C'EST MAINTENANT,115,"0,95%",
,,,,,,,,,,,INDEPENDANT,UN NOUVEAU DEPART,65,"0,54%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,2 993,"24,84%",
,106,"DANIA, COMMUNE ET SOUS-PREFECTURE",46,12 480,5299,"42,46%",154,5 145,107,"2,08%",INDEPENDANT,KOUAME KOUADIO ANDERSON,1 090,"21,19%",
,,,,,,,,,,,INDEPENDANT,N'GUESSAN KOUAKOU SALOMON,59,"1,15%",
,,,,,,,,,,,INDEPENDANT,SERY SOKO,310,"6,03%",
,,,,,,,,,,,RHDP,VEDEA BLIKAN ELISABETH,2 374,"46,14%",ELU(E)
,,,,,,,,,,,INDEPENDANT,GBEDEGNE NADJE HUGUES,173,"3,36%",
,,,,,,,,,,,INDEPENDANT,BERTE NADO AMARA,57,"1,11%",
,,,,,,,,,,,PDCI-RDA,TAPE TOUAPLI,975,"18,95%",
