REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
,088,"BAGOHOUO, GBAPLEU ET GUEZON, COMMUNES ET SOUS-PREFECTURES",84,26 419,11837,"44,80%",202,11 635,228,"1,96%",INDEPENDANT,THE MANDE STEPHANE,156,"1,34%",
,,,,,,,,,,,PDCI-RDA,GUI-DIBO DESIRE MAGLOIRE GNOMBLEHI,1 183,"10,17%",
,,,,,,,,,,,RHDP,DOUMBIA IBRAHIMA,8 300,"71,34%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KONE BAKARY,1 490,"12,81%",
,,,,,,,,,,,INDEPENDANT,MOUHON BOZON ELVIS DESTY,214,"1,84%",
,,,,,,,,,,,CODE,YOMI KAPEU,64,"0,55%",
,089,"DUEKOUE, COMMUNE",135,51 242,12507,"24,41%",218,12 289,127,"1,03%",INDEPENDANT,TAE AUBIN,45,"0,37%",
,,,,,,,,,,,MGC,KAHAN ANGELINE,122,"0,99%",
,,,,,,,,,,,INDEPENDANT,GNONBLESSON PIERRE QUINTUS,23,"0,19%",
,,,,,,,,,,,PDCI-RDA,SOMDA FOVIN GEORGETTE EPOUSE GIELEN,3 404,"27,70%",
,,,,,,,,,,,INDEPENDANT,GNAHE GOUSSE FRANCK,135,"1,10%",
,,,,,,,,,,,INDEPENDANT,TEHE FLORE BENEDICTE,50,"0,41%",
,,,,,,,,,,,INDEPENDANT,TOURE YACOUBA,654,"5,32%",
,,,,,,,,,,,ADCI,GNENE BASILE,226,"1,84%",
,,,,,,,,,,,AIRD,KAHE KPLOHOUROU ERIC VICTOR,566,"4,61%",
,,,,,,,,,,,RHDP,TOURE FLANIZARA,5 608,"45,63%",ELU(E)
,,,,,,,,,,,FPI,TEHY MONSETEMON BASILE,1 329,"10,81%",
,090,"DUEKOUE, SOUS-PREFECTURE ET GUEHIEBLY, COMMUNES ET SOUS-PREFECTURE",48,15 092,6652,"44,08%",180,6 472,117,"1,81%",PDCI-RDA,THE JASMIN ROGER,832,"12,86%",
,,,,,,,,,,,RHDP,OULLA GUELADET EPHREM PRIVAT,2 709,"41,86%",
,,,,,,,,,,,INDEPENDANT,GNONKA ANGES,2 814,"43,48%",ELU(E)
,091,"FACOBLY, GUEZON, KOUA, SEMIEN ET TIENY-SEABLY, COMMUNES ET SOUS-PREFECTURES",86,25 531,8572,"33,57%",189,8 383,111,"1,32%",INDEPENDANT,TIE FELICIEN SERGE-ALAIN,223,"2,66%",
,,,,,,,,,,,INDEPENDANT,BLEKAHI PHILIPPE,518,"6,18%",
,,,,,,,,,,,ADCI,KINDRAUD MIANTE ALIDA VERONIQUE,347,"4,14%",
,,,,,,,,,,,INDEPENDANT,MEAMBLY TIE EVARISTE EDOUARD,2 551,"30,43%",
,,,,,,,,,,,INDEPENDANT,TROH KELASSON ADELPHE,817,"9,75%",
,,,,,,,,,,,INDEPENDANT,TIEPOHO DOHANEMON ALAIN,408,"4,87%",
,,,,,,,,,,,INDEPENDANT,SEHI GUEHI PATRICK,375,"4,47%",
,,,,,,,,,,,RHDP,SEA JEAN HONORE,3 033,"36,18%",ELU(E)
,092,"KOUIBLY, NIDROU, OUYABLY-GNONDROU ET TOTRODROU, COMMUNES ET SOUS-PREFECTURES",94,30 990,10715,"34,58%",550,10 165,117,"1,15%",PPSD,TIEHI EMMANUEL,492,"4,84%",
,,,,,,,,,,,EDS,YOUTE WONSEBEO INNOCENT,1 977,"19,45%",
,,,,,,,,,,,MGC,KPEYA MONHESSEA,380,"3,74%",
,,,,,,,,,,,INDEPENDANT,WOMBLEGNON EPSE LEMMENS JULIE,1 402,"13,79%",
,,,,,,,,,,,INDEPENDANT,BEAT-SEKI SEANDJE ANGE,1 488,"14,64%",
,,,,,,,,,,,ACI,BAH FERDINAND,193,"1,90%",
,,,,,,,,,,,RHDP,TAHOU  THIERRY,3 858,"37,95%",ELU(E)
,,,,,,,,,,,GP-PAIX,GBE GNIONTY ANGELESSE JACQUELIN,258,"2,54%",
