REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
GONTOUGO,078,"KOKOMIAN, TANKESSE ET TIENKOIKRO, COMMUNES ET SOUS-PREFECTURES",67,19 298,8991,"46,59%",505,8 486,72,"0,85%",INDEPENDANT,AHIMOU YAO,141,"1,66%",
,,,,,,,,,,,INDEPENDANT,CISSE MOHAMED,223,"2,63%",
,,,,,,,,,,,PDCI-RDA,KOUASSI BREDOUMY SOUMAILA TRAORE,2 578,"30,38%",ELU(E)
,,,,,,,,,,,INDEPENDANT,YAO SOUMAILA,880,"10,37%",
,,,,,,,,,,,RHDP,KOUAKOU BOKO ANTOINE,1 394,"16,43%",
,,,,,,,,,,,INDEPENDANT,KOFFI KRA SERGE-PACOME,986,"11,62%",
,,,,,,,,,,,INDEPENDANT,KOFFI STEPHANE NANAN ATHESSY,1 156,"13,62%",
,,,,,,,,,,,INDEPENDANT,SEYAN KAMATE ISSOUF,692,"8,15%",
,,,,,,,,,,,REEL.CI,KOUADIO KOUABENA WILFRIED DELAFOSSE,334,"3,94%",
,,,,,,,,,,,INDEPENDANT,KOFFI GBALAZOU OLIVIER,30,"0,35%",
,079,"KOUN-FAO, COMMUNE ET SOUS-PREFECTURE",47,15 315,7579,"49,49%",218,7 361,45,"0,61%",INDEPENDANT,OUATTARA AZOUMANAN,2 121,"28,81%",
,,,,,,,,,,,INDEPENDANT,BENIE KOUAKOU ADAYE GERARD,428,"5,81%",
,,,,,,,,,,,INDEPENDANT,KOFFI KOUADIO SERAPHIN,89,"1,21%",
,,,,,,,,,,,PDCI-RDA,OULAYES YAO KPOULALE FRANCOIS,2 408,"32,71%",ELU(E)
,,,,,,,,,,,RHDP,KOUAKOU KOUASSI JEAN-MARIE,2 270,"30,84%",
,080,"BANDAKAGNI-TOMORA, DIMANDOUGOU, SANDEGUE ET YOROBODI, COMMUNES ET SOUS-PREFECTURES",63,19 968,10862,"54,40%",37,10 825,82,"0,76%",INDEPENDANT,KAMAGATE YAHASSINAN,3 812,"35,21%",
,,,,,,,,,,,CODE,OUATTARA LASSINA,67,"0,62%",
,,,,,,,,,,,RHDP,OUATTARA ABOUBAKAR,6 864,"63,41%",ELU(E)
,081,"AMANVI, DIAMBA, TANDA ET TCHEDIO, COMMUNES ET SOUS-PREFECTURES",141,39 059,21861,"55,97%",501,21 360,117,"0,55%",INDEPENDANT,FIENI KOFFI KEVIN,2 131,"9,98%",
,,,,,,,,,,,INDEPENDANT,BOBLAI DOUASSOH JOSINANE ISABELLE,2 483,"11,62%",
,,,,,,,,,,,ADCI,TEYA YAO BILLY CURTIS,258,"1,21%",
,,,,,,,,,,,PDCI-RDA,SERGE YVON VREMEN,754,"3,53%",
,,,,,,,,,,,RHDP,KOBENAN KOUASSI ADJOUMANI,15 617,"73,11%",ELU(E)
,082,"ASSUEFRY, KOUASSIA-NIAGUINI ET TRANSUA, COMMUNES ET SOUS-PREFECTURES",102,30 356,15766,"51,94%",305,15 461,118,"0,76%",INDEPENDANT,TANO KOUABENAN ISAAC,6 574,"42,52%",
,,,,,,,,,,,INDEPENDANT,OUATTARA ASSANAN,58,"0,38%",
,,,,,,,,,,,INDEPENDANT,BINI KOBENAN SERGE,148,"0,96%",
,,,,,,,,,,,PDCI-RDA,KOBENA KOSSONOU PAUL,388,"2,51%",
,,,,,,,,,,,RHDP,YOBOUA KOUABENAN CEVERIN,8 175,"52,87%",ELU(E)
