REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
,036,"TAI ET ZAGNE, COMMUNES ET SOUS-PREFECTURES",67,23 648,7238,"30,61%",250,6 988,63,"0,90%",INDEPENDANT,TIEDE ROBINSON POANHOULOU,71,"1,02%",
,,,,,,,,,,,INDEPENDANT,COULIBALY KAYAFEHE LACINA,334,"4,78%",
,,,,,,,,,,,RHDP,BAYALLA KOUYE MAYA HIPPOLYTE,4 793,"68,59%",ELU(E)
,,,,,,,,,,,CODE,VIMPLOU DJEHI GUEHE,55,"0,79%",
,,,,,,,,,,,INDEPENDANT,GUIRE TCHERPKAHON EDGARD,87,"1,24%",
,,,,,,,,,,,PDCI-RDA,GNONKONTE GNESSOA DESIRE,1 585,"22,68%",
,037,"BAKOUBLI, MEO, NEZOBLY, PEHE, TIOBLY ET TOULEPLEU, COMMUNES ET SOUS-PREFECTURES",84,22 722,11201,"49,30%",581,10 620,115,"1,08%",RHDP,OULOTO ANNE DESIREE,6 465,"60,88%",ELU(E)
,,,,,,,,,,,ADCI,DESSAON DOUANGNININ FABRICE,297,"2,80%",
,,,,,,,,,,,INDEPENDANT,BROU KOUAME PACOME,124,"1,17%",
,,,,,,,,,,,PDCI-RDA,ZION KAH DENIS,3 619,"34,08%",
DISTRICT AUTONOME D'ABIDJAN,038,"ABOBO, COMMUNE",1 058,438 021,107134,"24,46%",2 055,105 079,1 214,"1,16%",INDEPENDANT,ABOBO RENAISSANCE,916,"0,87%",
,,,,,,,,,,,AIDE,AGIR AUJOURDHUI POUR BATIR DEMAIN,1 374,"1,31%",
,,,,,,,,,,,RHDP,"UNE CÔTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",92 947,"88,45%",ELU(E)
,,,,,,,,,,,PIA/PRI/CODE,OSONS LE CHANGEMENT,622,"0,59%",
,,,,,,,,,,,INDEPENDANT,ENSEMBLE POUR UNE NOUVELLE VISION,647,"0,62%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,7 359,"7,00%",
,039,"ADJAME, COMMUNE",284,118 995,14608,"12,28%",419,14 189,148,"1,04%",INDEPENDANT,ADJAME DJIGUI,653,"4,60%",
,,,,,,,,,,,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",11 152,"78,60%",ELU(E)
,,,,,,,,,,,INDEPENDANT,ADJAME LE BARA,444,"3,13%",
,,,,,,,,,,,INDEPENDANT,ALTERNATIVE NOUVELLE GENERATION,152,"1,07%",
,,,,,,,,,,,INDEPENDANT,TOUS UNIS POUR UN ADJAME MEILLEUR,282,"1,99%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,1 358,"9,57%",
,040,"ATTECOUBE, COMMUNE",250,103 500,22760,"21,99%",382,22 378,272,"1,22%",RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",18 012,"80,49%",ELU(E)
,,,,,,,,,,,INDEPENDANT,UNIR POUR LE CHANGEMENT,1 054,"4,71%",
,,,,,,,,,,,INDEPENDANT,LE COEUR POUR ATTECOUBE,187,"0,84%",
,,,,,,,,,,,UNCI,SOLIDAIRE POUR TOUS,249,"1,11%",
,,,,,,,,,,,INDEPENDANT,DEVELOPPEMENT ET PROGRES POUR ATTECOUBE,1 395,"6,23%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,1 209,"5,40%",
