REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
BELIER,019,"BOLI, DIDIEVI, MOLONOU-BLE ET TIE-N'DIEKRO, COMMUNES ET SOUS-PREFECTURES",129,36 304,11536,"31,78%",421,11 115,138,"1,24%",RHDP,KOFFI KOFFI SERAPHIN,5 037,"45,32%",
,,,,,,,,,,,INDEPENDANT,KONAN ULRICH KOUADIO SERGE RENE,199,"1,79%",
,,,,,,,,,,,PDCI-RDA,N'GUESSAN KOUASSI EDOUARD,5 741,"51,65%",ELU(E)
,020,"LOMOKANKRO, MOLONOU, TLEBISSOU ET YAKPABO-SAKASSOU, COMMUNES ET SOUS-PREFECTURES",147,42 781,14778,"34,54%",537,14 241,134,"0,94%",INDEPENDANT,ENSEMBLE TOUT EST POSSIBLE,80,"0,56%",
,,,,,,,,,,,INDEPENDANT,LES PROGRESSISTES,222,"1,56%",
,,,,,,,,,,,RHDP,"UNE COTE DIVOIRE EN PAIX , PROSPERE ET SOLIDAIRE",6 127,"43,02%",
,,,,,,,,,,,INDEPENDANT,ENSEMBLE POUR LE DEVELOPPEMENT,190,"1,33%",
,,,,,,,,,,,PRO CI,PRO COTE DIVOIRE POUR UN PARLEMENT DEFENSEUR DES POPULATIONS,70,"0,49%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,7 418,"52,09%",ELU(E)
,021,"TOUMODI, COMMUNE",84,31 946,9783,"30,62%",338,9 445,57,"0,60%",RHDP,GOUDOU RAYMONDE COFFIE,4 615,"48,86%",
,,,,,,,,,,,INDEPENDANT,SENI KONAN JULES NANGLE,143,"1,51%",
,,,,,,,,,,,PDCI-RDA,ALLIALI HERVE DOMINIQUE DIE,4 630,"49,02%",ELU(E)
,022,"ANGODA, BONIKRO, DJEKANOU, KPOUEBO, KOKUMBO, COMMUNES ET SOUS-PREFECTURES, TOUMODI, SOUS-PREFECTURE",139,43 279,12775,"29,52%",556,12 219,128,"1,05%",INDEPENDANT,KOUADIO N'GUESSAN CHARLES,160,"1,31%",
,,,,,,,,,,,INDEPENDANT,N'GUESSAN KOUAME MARIUS MAURINIER,61,"0,50%",
,,,,,,,,,,,RHDP,KONAN YAO SIMPLICE,4 846,"39,66%",
,,,,,,,,,,,INDEPENDANT,N'DA KOUASSI JULES,97,"0,79%",
,,,,,,,,,,,INDEPENDANT,KOUADIO KOFFI ASSASSI MARCEL,85,"0,70%",
,,,,,,,,,,,INDEPENDANT,KOUAKOU KOUADIO JUVENAL,60,"0,49%",
,,,,,,,,,,,PDCI-RDA,N'DAKPRI DJAHA ANGE FELIX,6 782,"55,50%",ELU(E)
BERE,023,"BOUANDOUGOU ET TIENINGBOUE, COMMUNES ET SOUS-PREFECTURES",95,25 590,14752,"57,65%",187,14 565,237,"1,63%",INDEPENDANT,ADAMA BAKAYOKO,8 087,"55,52%",ELU(E)
,,,,,,,,,,,RHDP,HAMADOU KAMAGATE,6 196,"42,54%",
,,,,,,,,,,,PDCI-RDA,KATIENSELY COULIBALY,45,"0,31%",
,024,"DIANRA ET DIARRA-VILLAGE, COMMUNES ET SOUS-PREFECTURES",88,26 729,16599,"62,10%",291,16 308,378,"2,32%",INDEPENDANT,KONATE BAKARY,1 055,"6,47%",
,,,,,,,,,,,INDEPENDANT,KONE AMOURLAYE,4 127,"25,31%",
,,,,,,,,,,,INDEPENDANT,CISSE ISAAC,886,"5,43%",
,,,,,,,,,,,RHDP,GNANGADJOMON KONE,9 862,"60,47%",ELU(E)
,025,"MANKONO, COMMUNE ET SOUS-PREFECTURE",73,23 860,12104,"50,73%",144,11 960,138,"1,15%",RHDP,FOFANA EPSE MEITE SALIMATA,7 756,"64,85%",ELU(E)
,,,,,,,,,,,INDEPENDANT,SOTIGUY COULIBALY,3 921,"32,78%",
,,,,,,,,,,,PDCI-RDA,FOFANA ADAMA,145,"1,21%",
,026,"MARANDALLAH ET SARHALA, COMMUNES ET SOUS-PREFECTURES",78,21 935,11771,"53,66%",130,11 641,195,"1,68%",INDEPENDANT,BAMBA LADJI,5 703,"48,99%",ELU(E)
,,,,,,,,,,,INDEPENDANT,WASSI KANATE,423,"3,63%",
,,,,,,,,,,,RHDP,DOGOSSATI BAKAYOKO,5 320,"45,70%",
,027,"KONGASSO ET KOUNAHIRI, COMMUNES ET SOUS-PREFECTURES",84,24 391,10680,"43,79%",352,10 328,224,"2,17%",INDEPENDANT,BAGATE ABDOULE TIECOURA,2 190,"21,20%",
,,,,,,,,,,,INDEPENDANT,BISSA AUGUSTIN,2 785,"26,97%",
,,,,,,,,,,,INDEPENDANT,GBEGBE BATO OLIVIER,426,"4,12%",
,,,,,,,,,,,RHDP,BAMBA CHEICK LANCINA,4 606,"44,60%",ELU(E)
,,,,,,,,,,,PDCI-RDA,DELLOH ERIC,97,"0,94%",
,028,"BOUKO ET BOUNA, COMMUNES ET SOUS-PREFECTURES",89,26 581,14195,"53,40%",169,14 026,283,"2,02%",CODE,CONGRES DEMOCRATIQUE,1 820,"12,98%",
,,,,,,,,,,,RHDP,"UNE COTE DIVOIRE EN PAIX,PROSPERE ET SOLIDAIRE",11 923,"85,01%",ELU(E)
