REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
,049,"BINGERVILLE, COMMUNE ET SOUS-PREFECTURE",180,68 611,15096,"22,00%",224,14 872,62,"0,42%",RHDP,DOUMBIA ISSOUF,6 384,"42,93%",ELU(E)
,,,,,,,,,,,INDEPENDANT,FANNY FATOU,203,"1,36%",
,,,,,,,,,,,INDEPENDANT,OBOUO MELAINE EVRARD,446,"3,00%",
,,,,,,,,,,,INDEPENDANT,HIEN KAMBIRE IBRAHIM,4 792,"32,22%",
,,,,,,,,,,,ADCI,DALEBA NAHOUNOU PIERRE LAUTTI,506,"3,40%",
,,,,,,,,,,,INDEPENDANT,ALOBOUE SERGE ERIC,109,"0,73%",
,,,,,,,,,,,URCI,KOUAME N'GUESSAN DESIRE,68,"0,46%",
,,,,,,,,,,,INDEPENDANT,ZAKO OLILI LARISSA ARMELLE RENEE,15,"0,10%",
,,,,,,,,,,,INDEPENDANT,KOUAME KOFFI FRANCK AIME,38,"0,26%",
,,,,,,,,,,,PDCI-RDA,BEUGRE DJOMAN,2 249,"15,12%",
,050,"SONGON, COMMUNE ET SOUS-PREFECTURE",122,43 864,33793,"77,04%",281,33 512,193,"0,58%",INDEPENDANT,AKRE BIEFFO STEPHANE,388,"1,16%",
,,,,,,,,,,,RHDP,MAMBE BEUGRE ROBERT,31 927,"95,27%",ELU(E)
,,,,,,,,,,,INDEPENDANT,SEA ROY JEAN ROMARIC,336,"1,00%",
,,,,,,,,,,,INDEPENDANT,NDE ANGRE MOISE,419,"1,25%",
,,,,,,,,,,,INDEPENDANT,DAGO PRISCA LARISSA GOUGOUHONON,249,"0,74%",
DISTRICT AUTONOME DE YAMOUSSOUKRO,051,"ATIIEGOUAKRO ET LOLOBO, COMMUNES ET SOUS-PREFECTURES",61,22 039,7804,"35,41%",219,7 585,93,"1,23%",INDEPENDANT,YAO KONAN GLOUA SAME,124,"1,63%",
,,,,,,,,,,,INDEPENDANT,YAO LOUKOU GILBERT,28,"0,37%",
,,,,,,,,,,,INDEPENDANT,BROU KOUAKOU JEAN-BAPTISTE,45,"0,59%",
,,,,,,,,,,,ADCI,NDRI KOUAME YVES,152,"2,00%",
,,,,,,,,,,,RHDP,KOFFI NGORAN JUSTIN,3 618,"47,70%",ELU(E)
,,,,,,,,,,,PDCI-RDA,KONAN KOFFI MARIUS,3 525,"46,47%",
,052,"KOSSOU, COMMUNE ET SOUS-PREFECTURE, YAMOUSSOUKRO, SOUS-PREFECTURE",62,19 294,5120,"26,54%",174,4 946,75,"1,52%",LE BUFFLE,KOFFI KOUAKOU KOUHOURE LEANDRE,1 159,"23,43%",ELU(E)
,,,,,,,,,,,INDEPENDANT,SEYDOU OUATTARA,100,"2,02%",
,,,,,,,,,,,INDEPENDANT,OKA ALAIN THIERRY,171,"3,46%",
,,,,,,,,,,,INDEPENDANT,BIFFI KOUADIO MACAIRE-JEAN,950,"19,21%",
,,,,,,,,,,,INDEPENDANT,KOUAME ELVIS KOUADIO,107,"2,16%",
,,,,,,,,,,,ADCI,AKPETOU KOUAME LAZARE,55,"1,11%",
,,,,,,,,,,,RHDP,N'GUESSAN BEWAN ANICET,1 107,"22,38%",
,,,,,,,,,,,INDEPENDANT,LOUKOU KOUAME RICHARD,186,"3,76%",
,,,,,,,,,,,INDEPENDANT,BOA ETCHEGNE SYLVAIN PRUDENCE,141,"2,85%",
,,,,,,,,,,,INDEPENDANT,AMANI KOFFI JEROME,7,"0,14%",
,,,,,,,,,,,INDEPENDANT,KONAN KONAN EVRAD,147,"2,97%",
,,,,,,,,,,,PDCI-RDA,KOUAME KONAN EDOUARD,730,"14,76%",
,,,,,,,,,,,INDEPENDANT,KOUACOU AHOU JOSEE DESTHER,11,"0,22%",
