REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
GOH,069,"DOUGROUPALEGNOA, DOUKOUYO, GNAGBODOUGNOA ET SERIHIO, COMMUNES ET SOUS-PREFECTURES, GAGNOA, SOUS-PREFECTURE",129,36 390,10519,"28,91%",451,10 068,159,"1,58%",INDEPENDANT,GNAHORE SIABA GEORGES,448,"4,45%",
,,,,,,,,,,,INDEPENDANT,KAKOU GUIKAHUE MAURICE,1 600,"15,89%",
,,,,,,,,,,,INDEPENDANT,ADJI KODOU MATHIAS,55,"0,55%",
,,,,,,,,,,,INDEPENDANT,MOUSSA KONATE,1 885,"18,72%",ELU(E)
,,,,,,,,,,,INDEPENDANT,RABE LIAGRO CHARLES,1 314,"13,05%",
,,,,,,,,,,,INDEPENDANT,BAGNIMO DIABOU OLIVIER,47,"0,47%",
,,,,,,,,,,,INDEPENDANT,DAKOURY ELIE,49,"0,49%",
,,,,,,,,,,,INDEPENDANT,GNAGA LOSS-ROSS,62,"0,62%",
,,,,,,,,,,,PDCI-RDA,YAO KOUAME RENE,1 607,"15,96%",
,,,,,,,,,,,INDEPENDANT,YAZI IKPO JEAN ARNAUD,59,"0,59%",
,,,,,,,,,,,INDEPENDANT,GNADJA DOGBA-RICHARD,721,"7,16%",
,,,,,,,,,,,RHDP,DJEDJEGNE YRIDJE DIGBEU YVETTE EPOUSE SEA,1 645,"16,34%",
,,,,,,,,,,,INDEPENDANT,BLE ZOKOU,274,"2,72%",
,,,,,,,,,,,INDEPENDANT,KOFFI KOUAME,123,"1,22%",
,,,,,,,,,,,INDEPENDANT,GADJI DIDIER JEAN-FRANCOIS,20,"0,20%",
,070,"GAGNOA, COMMUNE",210,83 356,11738,"14,08%",292,11 446,100,"0,87%",INDEPENDANT,"S""UNIR ET AGIR POUR GAGNOA",297,"2,59%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,769,"6,72%",
,,,,,,,,,,,RHDP,UNE COTE D'IVOIRE EN PAIX PROSPERE ET SOLIDAIRE,9 405,"82,17%",ELU(E)
,,,,,,,,,,,MDR,MOUVEMENT DEMOCRATIQUE POUR LE RENOUVEAU,542,"4,74%",
,,,,,,,,,,,ADCI,AUJOURDHUI ET DEMAIN LA CÔTE DIVOIRE,333,"2,91%",
,071,"DIEGONEFLA ET TONLA, COMMUNES ET SOUS-PREFECTURES",101,31 994,10995,"34,37%",265,10 730,95,"0,89%",INDEPENDANT,ZEGOUA ADIA SAINT DOMINIQUE ISRAEL,1 162,"10,83%",
,,,,,,,,,,,PDCI-RDA,BAGROU GOLI,5 210,"48,56%",ELU(E)
,,,,,,,,,,,MGC,KOBOU DECKY JEAN CLAUDE,137,"1,28%",
,,,,,,,,,,,ICON,MAYOBO OGA DADE YVES,94,"0,88%",
,,,,,,,,,,,INDEPENDANT,DEHI GAHI DANIEL,130,"1,21%",
,,,,,,,,,,,RHDP,KONAN JULIEN,3 902,"36,37%",
,072,"GUEPAHOUO ET OUME, COMMUNES ET SOUS-PREFECTURES",165,46 572,11867,"25,48%",334,11 533,95,"0,82%",INDEPENDANT,KONATE ZANGA,14,"0,12%",
,,,,,,,,,,,INDEPENDANT,ALLAH KOUADIO ERIC SAINT-CLAIR,963,"8,35%",
,,,,,,,,,,,INDEPENDANT,BANA DONZO JEAN PROSPER,124,"1,08%",
,,,,,,,,,,,PDCI-RDA,LAGUI KOUASSI JOACHIM,3 810,"33,04%",
,,,,,,,,,,,MGC,TRAH N'GORAN YOLANDE AIMEE EPOUSE KOFFI,137,"1,19%",
,,,,,,,,,,,INDEPENDANT,DOUEZAN LOU TCHANWELE PHILOMENE EPSE DADOU,35,"0,30%",
,,,,,,,,,,,RHDP,KOUASSI DJA FLORE,5 788,"50,19%",ELU(E)
,,,,,,,,,,,INDEPENDANT,WOYO BE NADEGE,171,"1,48%",
,,,,,,,,,,,INDEPENDANT,NDRI YAO MATHIEU,396,"3,43%",
