REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
HAUT- SASSANDRA,107,"SEITIFLA, COMMUNE ET SOUS-PREFECTURE",42,11 109,5174,"46,57%",183,4 991,88,"1,76%",RHDP,TRA BI SUI GUILLAUME,3 312,"66,36%",ELU(E)
,,,,,,,,,,,INDEPENDANT,OUIGNAN MARTIN,1 416,"28,37%",
,,,,,,,,,,,INDEPENDANT,KOUASSI BROU GAUTHIER,175,"3,51%",
,108,"DOMANGBEU, GREGBEU, GUESSABO ET ZOUKOUGBEU, COMMUNES ET SOUS·PREFECTURES",92,24 325,8062,"33,14%",171,7 891,85,"1,08%",FPP,BAMBA KALIFA,37,"0,47%",
,,,,,,,,,,,RHDP,DOH DIBAHI MARCELLIN,4 276,"54,19%",ELU(E)
,,,,,,,,,,,INDEPENDANT,TETEA ZAMOSSE LEONARD,357,"4,52%",
,,,,,,,,,,,PDCI-RDA,GOZE SEPLE BERNARD,3 136,"39,74%",
IFFOU,109,"AKPASSANOU, ANANDA ET OUELLE COMMUNES ET SOUS-PREFECTURES",70,19 944,7665,"38,43%",237,7 428,54,"0,73%",INDEPENDANT,KOUASSI KOUADIO FRANCOIS,48,"0,65%",
,,,,,,,,,,,GP-PAIX,KONAN KOUAKOU,98,"1,32%",
,,,,,,,,,,,PDCI-RDA,YAO N'GUESSAN JUSTIN INNOCENT,4 346,"58,51%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KOUAKOU KOUADIO JEAN-ARSENE,709,"9,54%",
,,,,,,,,,,,RHDP,KOUAKOU KOUASSI HUBERT,2 173,"29,25%",
,110,"DAOUKRO ET N'GATTAKRO, COMMUNES ET SOUS-PREFECTURES",111,37 825,10860,"28,71%",436,10 424,72,"0,69%",INDEPENDANT,AKOTO KOUASSI OLIVIER,2 411,"23,13%",
,,,,,,,,,,,RHDP,KOUAKOU KOUADIO GERMAIN,939,"9,01%",
,,,,,,,,,,,PDCI-RDA,KOUASSI TEOPHILE,5 907,"56,67%",ELU(E)
,,,,,,,,,,,INDEPENDANT,TRAORE ABOU,658,"6,31%",
,,,,,,,,,,,INDEPENDANT,KOUAME KOUASSI BENSON,437,"4,19%",
,111,"ETTROKRO ET SAMANZA, COMMUNES ET SOUS-PREFECTURES",44,11 430,5639,"49,34%",315,5 324,53,"1,00%",PDCI-RDA,N'DOUFOU KOUASSI RICHARD,1 753,"32,93%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KOUA MORO JEAN-BAPTISTE,765,"14,37%",
,,,,,,,,,,,INDEPENDANT,EKRA KOFFI JEAN-JACQUES,1 590,"29,86%",
,,,,,,,,,,,RHDP,KOFFI KONIEN MOISE,1 163,"21,84%",
,112,"BONGUERA, KONDOSSOU ET M'BAHIAKRO, COMMUNES ET SOUS-PREFECTURES",118,31 073,14797,"47,62%",640,14 157,198,"1,40%",INDEPENDANT,KOUAKOU ATCHELAUD FAUSTO LEWIS,2 500,"17,66%",
,,,,,,,,,,,INDEPENDANT,TRAORE AHMED PARFAIT,4 697,"33,18%",ELU(E)
,,,,,,,,,,,PDCI-RDA,KOUAME TIALY HONORE,2 516,"17,77%",
,,,,,,,,,,,INDEPENDANT,KOUAME KOUADIO JEAN JACQUES,168,"1,19%",
,,,,,,,,,,,INDEPENDANT,KOUAKOU KOUADIO,3 004,"21,22%",
,,,,,,,,,,,RHDP,OUATTARA BAKARY,1 074,"7,59%",
,113,"ANIANOU, FAMIENKRO, KOFFI-AMONKRO, NAFANA ET PRIKRO, COMMUNESETSOU~PREFECTURES",105,30 711,15501,"50,47%",406,15 095,225,"1,49%",PDCI-RDA,ADI KOUAME ISAC,6 704,"44,41%",
,,,,,,,,,,,INDEPENDANT,DRAMANE KOUAKOU AMADOU,278,"1,84%",
,,,,,,,,,,,RHDP,KOUASSI KOUASSI JEAN CLAUDE,7 888,"52,26%",ELU(E)
INDENIE-DJUABLIN,114,"ABENGOUROU, COMMUNE",128,48 575,11873,"24,44%",206,11 667,48,"0,41%",INDEPENDANT,KONE MOUSSA,1 039,"8,91%",
,,,,,,,,,,,INDEPENDANT,NINTANE MAMADOU,1 006,"8,62%",
,,,,,,,,,,,RHDP,BAH ABDOULAYE,5 872,"50,33%",ELU(E)
,,,,,,,,,,,INDEPENDANT,FOFANA ABDOUL KARIM,76,"0,65%",
,,,,,,,,,,,PDCI-RDA,BREDOU BREDOU ATHANASE,3 626,"31,08%",
,115,"ABENGOUROU, SOUS-PREFECTURE, AMELEKIA, ANIANSSUE, EBILASSOKRO, NIABLE, YAKASSE-FEYASSE ET ZARANOU, COMMUNES ET SOUS-PREFECTURES",166,51 273,22283,"43,46%",498,21 785,104,"0,48%",RHDP,"UNE CÔTE DIVOIRE EN PAIX, PROSPÈRE ET SOLIDAIRE",17 921,"82,26%",ELU(E)
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,3 760,"17,26%",
