REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
,053,"YAMOUSSOUKRO,COMMUNE",288,118 151,36304,"30,73%",756,35 548,327,"0,92%",INDEPENDANT,ESPOIR,106,"0,30%",
,,,,,,,,,,,RHDP,"UNE CÔTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",22 070,"62,09%",ELU(E)
,,,,,,,,,,,INDEPENDANT,BATISSONS ENSEMBLE LA NATION IVOIRIENNE,141,"0,40%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,12 904,"36,30%",
FOLON,054,"GOULIA, TIENKO, MAHANDIANA-SOKOURANI ET KIMBIRILA-NORD, COMMUNES ET SOUS-PREFECTURES",98,30 154,21695,"71,95%",296,21 399,422,"1,97%",INDEPENDANT,KONE LANCINE,10 274,"48,01%",
,,,,,,,,,,,RHDP,SIDIBE BERRY,10 703,"50,02%",ELU(E)
,055,"KANIASSO, MINIGNAN ET SOKORO, COMMUNES ET SOUS-PREFECTURES",60,19 524,12753,"65,32%",144,12 609,121,"0,96%",INDEPENDANT,KONE MAMERY,3 651,"28,96%",
,,,,,,,,,,,INDEPENDANT,KALILOU CAMARA,268,"2,13%",
,,,,,,,,,,,INDEPENDANT,BAMBA KARIM,383,"3,04%",
,,,,,,,,,,,RHDP,SIDIBE NOUMORY,8 154,"64,67%",ELU(E)
,,,,,,,,,,,CODE,TOURE MAMADOU,32,"0,25%",
GBEKE,056,"ANDO-KEKRENOU, BEOUMI ET KONDROBO, COMMUNES ET SOUS-PREFECTURES",129,39 082,15791,"40,40%",718,15 073,166,"1,10%",INDEPENDANT,ENSEMBLE POUR NOTRE BEOUMI,4 628,"30,70%",
,,,,,,,,,,,ADCI,"ADCI (Aujourd'hui et demain, la Côte D'Ivoire)",154,"1,02%",
,,,,,,,,,,,INDEPENDANT,LA VOIX DE BEOUMI POUR LA COTE DIVOIRE,192,"1,27%",
,,,,,,,,,,,INDEPENDANT,BEOUMI EN MARCHE,200,"1,33%",
,,,,,,,,,,,RHDP,"UNE COTE DIVOIRE EN PAIX,PROSPERE ET SOLIDAIRE",3 559,"23,61%",
,,,,,,,,,,,INDEPENDANT,ENTENTE POUR LE DEVELOPPEMENT,440,"2,92%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,5 734,"38,04%",ELU(E)
,057,"BODOKRO, LOLOBO ET N'GUESSANKRO, COMMUNES ET SOUS-PREFECTURES",76,20 187,7420,"36,76%",236,7 184,78,"1,09%",INDEPENDANT,KOUAKOU KOUAME MAXIME,3 375,"46,98%",ELU(E)
,,,,,,,,,,,RHDP,KOUAME ATTINGBRE,1 600,"22,27%",
,,,,,,,,,,,INDEPENDANT,N'GUESSAN KOUADIO JULES,261,"3,63%",
,,,,,,,,,,,FPI,KOUASSI YAO RAPHAËL,329,"4,58%",
,,,,,,,,,,,PDCI-RDA,SAHOURE N'GUESSAN PATRICE,1 541,"21,45%",
,058,"BOTRO ET KROFOINSOU, COMMUNES ET SOUS-PREFECTURES",64,15 712,6698,"42,63%",231,6 467,56,"0,87%",INDEPENDANT,YAO KOUASSI NOGUES,208,"3,22%",
,,,,,,,,,,,RHDP,YAO KOUASSI MAURICE,3 639,"56,27%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KOUADIO KOUASSI LANDRY,289,"4,47%",
,,,,,,,,,,,INDEPENDANT,GNAMIEN KONAN,221,"3,42%",
,,,,,,,,,,,INDEPENDANT,DIABY AMADOU,79,"1,22%",
,,,,,,,,,,,PDCI-RDA,AZAGOH-KOUADIO RICHARD,1 975,"30,54%",
,059,"DIABO ET LANGUIBONOU, COMMUNES ET SOUS-PREFECTURES",108,27 040,10747,"39,74%",363,10 384,147,"1,42%",RHDP,ASSAHORE KONAN JACQUES,6 758,"65,08%",ELU(E)
,,,,,,,,,,,INDEPENDANT,YAO-KOUAME ALBERT,78,"0,75%",
,,,,,,,,,,,INDEPENDANT,BROU KOUASSI FELICIEN,57,"0,55%",
,,,,,,,,,,,INDEPENDANT,KOUADIO KOUAME EMMANUEL,80,"0,77%",
,,,,,,,,,,,INDEPENDANT,YAO BETTY ARIANE REBECCA MARIE,598,"5,76%",
,,,,,,,,,,,INDEPENDANT,N'GUESSAN KOUADIO LEONCE,22,"0,21%",
,,,,,,,,,,,PDCI-RDA,HOUSSOU KOUADIO CHRISTOPHE,2 644,"25,46%",
,060,"BOUAKE, VILLE",710,277 859,114172,"41,09%",1 375,112 797,1 179,"1,05%",RHDP,"UNE CÔTE DIVOIRE EN PAIX, PROSPERE ET SOLIDARITE",111 618,"98,95%",ELU(E)
,,,,,,,,,,,CODE,OSONS LE CHANGEMENT,692,"6,10%",
,,,,,,,,,,,GP-PAIX,PAIX-UNITE-PROSPERITE,300,"2,64%",
