REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
BOUNKANI,029,"ONDEFIDOUO ET YOUNDOUO, COMMUNES ET SOUS-PREFECTURES",43,11 091,7346,"66,23%",99,7 247,209,"2,88%",INDEPENDANT,SIB SIE JEAN,2 550,"35,19%",ELU(E)
,,,,,,,,,,,RHDP,KAMBOU SIE,2 178,"30,05%",
,,,,,,,,,,,INDEPENDANT,SOM SIE JEAN BAPTISTE,1 621,"22,37%",
,,,,,,,,,,,INDEPENDANT,KAMBIRE SIE BOMITE JULIEN,96,"1,32%",
,,,,,,,,,,,INDEPENDANT,KAMBOU BALIRE JEROME,423,"5,84%",
,,,,,,,,,,,FPI,KAMBOU OLLO PAUL,112,"1,55%",
,,,,,,,,,,,PDCI-RDA,HIEN PIRIHINTE,58,"0,80%",
,030,"DANOA, DOROPO, KALAMON ET NIAMOUE, COMMUNES ET SOUS-PREFECTURES",67,19 827,10300,"51,95%",163,10 137,328,"3,24%",INDEPENDANT,KOUASSI KOUADIO JOEL,158,"1,56%",
,,,,,,,,,,,INDEPENDANT,KAMBIRE CHARLES,3 426,"33,80%",
,,,,,,,,,,,RHDP,NOUFE SANSAN KOULANFIRTE,6 072,"59,90%",ELU(E)
,,,,,,,,,,,INDEPENDANT,OUATTARA KOFFI,153,"1,51%",
,031,"BOGOFA, KAKPIN, KOUTOUBA, NASSIAN ET SOMINASSE, COMMUNES ET SOUS-PREFECTURES",76,21 508,14236,"66,19%",266,13 970,178,"1,27%",INDEPENDANT,KAMBOU HOLO,439,"3,14%",
,,,,,,,,,,,RHDP,OUATTARA AMARA,6 583,"47,12%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KRA EUGENE KOUASSI,1 315,"9,41%",
,,,,,,,,,,,GP-PAIX,DABILA KOUADIO JEAN-MARIE,93,"0,67%",
,,,,,,,,,,,PDCI-RDA,KOUADIO DEGLEGUI EDMOND,5 362,"38,38%",
,032,"GOGO,TEHINI ET TOUGBO, COMMUNES ET SOUS-PREFECTURES",45,10 547,5885,"55,80%",87,5 798,160,"2,76%",INDEPENDANT,SIB SANSAN DIEUDONNE,2 392,"41,26%",
,,,,,,,,,,,INDEPENDANT,PALE OLLO DESIRE,491,"8,47%",
,,,,,,,,,,,RHDP,OUATTARA OUMAR,2 694,"46,46%",ELU(E)
,,,,,,,,,,,INDEPENDANT,PALE SANSAN,61,"1,05%",
CAVALLY,033,"BLOLEQUIN, DIBOKE, DOKE, TINHOU ET ZEAGLO, COMMUNES ET SOUS-PREFECTURES",115,34 438,11735,"34,08%",558,11 177,135,"1,21%",RHDP,UNE CÔTE DIVOIRE PROSPERE ET SOLIDAIRE,5 882,"52,63%",ELU(E)
,,,,,,,,,,,INDEPENDANT,CANDIDATURE POUR LA DIGNITE ET LE TRIOMPHE DU PEUPLE,344,"3,08%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE DIVOIRE,4 816,"43,09%",
,034,"BEDY-GOAZON, KAADE ET NIZAHON, COMMUNES ET SOUS-PREFECTURES, GUIGLO, SOUS-PREFECTURE",58,16 418,6438,"39,21%",189,6 249,70,"1,12%",INDEPENDANT,KEI GBOHOU MELAINE,62,"0,99%",
,,,,,,,,,,,RHDP,TIO LOUIS SERGE,3 951,"63,23%",ELU(E)
,,,,,,,,,,,PDCI-RDA,SARR BOHE MARIUS MELAINE DEGBAHOUA,2 166,"34,66%",
,035,"GUIGLO, COMMUNE",95,35 868,7312,"20,39%",252,7 060,67,"0,95%",INDEPENDANT,BAMBA DAOUDA,727,"10,30%",
,,,,,,,,,,,RHDP,SERODE GUI HERVE MARC GATIEN,4 099,"58,06%",ELU(E)
,,,,,,,,,,,INDEPENDANT,BAMBA LANCINE,175,"2,48%",
,,,,,,,,,,,INDEPENDANT,TIEON HERMANN ULRICH,84,"1,19%",
,,,,,,,,,,,INDEPENDANT,KEMONSIEHI JEAN BEDEL,567,"8,03%",
,,,,,,,,,,,INDEPENDANT,TAHI HOULOUNEGNION ALEXIS,191,"2,71%",
,,,,,,,,,,,INDEPENDANT,SIHE JESUS,1 150,"16,29%",
