REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
,005,"GOMON ET SIKENSI, COMMUNES ET SOUS-PREFECTURES",102,37 720,10768,"28,55%",347,10 421,134,"1,29%",INDEPENDANT,BOTTI ADJIRI BERNARD,1 127,"10,81%",
,,,,,,,,,,,INDEPENDANT,YAO YAO ERIC ARMAND,1 710,"16,41%",
,,,,,,,,,,,INDEPENDANT,BIPKO DANIELLE ADAHI,1 417,"13,60%",
,,,,,,,,,,,INDEPENDANT,KOPRO AMANI PIERRE VENCESLAS VINCENT,580,"5,57%",
,,,,,,,,,,,RHDP,N'GATA BRIE JOSEPH,3 574,"34,30%",ELU(E)
,,,,,,,,,,,INDEPENDANT,SAHORE N'GUESSAN PASCAL,157,"1,51%",
,,,,,,,,,,,INDEPENDANT,ADOU JOSE ANTONIO,64,"0,61%",
,,,,,,,,,,,INDEPENDANT,ADANGBA KASSA-KASSA RAPHAEL,32,"0,31%",
,,,,,,,,,,,PDCI-RDA,ASSOUMOU BAKA CHARLES,1 626,"15,60%",
,006,"GBOLOUVILLE ET N'DOUCI, COMMUNES ET SOUS-PREFECTURES",94,31 758,9221,"29,04%",283,8 938,72,"0,81%",RHDP,KANGBE YAYORO CHARLES LOPEZ,3 169,"35,46%",ELU(E)
,,,,,,,,,,,ADCI,CAMARA ISSOUF,1 848,"20,68%",
,,,,,,,,,,,INDEPENDANT,TANOH AMOI CHRISTIAN,88,"0,98%",
,,,,,,,,,,,INDEPENDANT,GOUHAN EKANZA JULES ROLAND MONSIHO,282,"3,16%",
,,,,,,,,,,,INDEPENDANT,N'GUESSAN AUGUSTIN KOUAKOU KASSI,868,"9,71%",
,,,,,,,,,,,INDEPENDANT,KOUAKOU NGORAN JEROME,126,"1,41%",
,,,,,,,,,,,CNPCIN,YAO CHRIST FRANCIS ALAIN GILLES,110,"1,23%",
,,,,,,,,,,,PDCI-RDA,OBOUMOU GOLE MARCELIN,2 375,"26,57%",
,007,"MOROKRO ET TIASSALE, COMMUNES ET SOUS-PREFECTURES",123,39 362,16841,"42,78%",518,16 323,118,"0,72%",ADCI - GP-PAIX - VALEUR,ASSALE TIEMOKO ANTOINE,7 489,"45,88%",
,,,,,,,,,,,RHDP,SANOGO DRAMANE ALPHA,8 557,"52,42%",ELU(E)
,,,,,,,,,,,PDCI-RDA,MIAN OCTAVI PEROU,159,"0,97%",
,008,"PACOBO ET TAABO, COMMUNES ET SOUS-PREFECTURES",68,23 159,7576,"32,71%",399,7 177,64,"0,89%",GJPA-CI,KOFFI NDRI FERDINAND,35,"0,49%",
,,,,,,,,,,,INDEPENDANT,KOUASSI KOFFI KAN ANICET DIDIER,881,"12,28%",
,,,,,,,,,,,INDEPENDANT,BOKA YAO DANIEL,911,"12,69%",
,,,,,,,,,,,RHDP,KOUADIO BEUGRE BERNARD,3 912,"54,51%",ELU(E)
,,,,,,,,,,,INDEPENDANT,NAHOUNOU FELICITE VERONIQUE N'GUESSAN,81,"1,13%",
,,,,,,,,,,,INDEPENDANT,MBASSIDJE EDDOH CHRISTIAN RICHARD,59,"0,82%",
,,,,,,,,,,,INDEPENDANT,EBOU ADJOUA ANGELE,84,"1,17%",
,,,,,,,,,,,PDCI-RDA,KOUAME KOFFI RUFIN,1 150,"16,02%",
