REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
DISTRICT AUTONOME D'ABIDJAN,046,"TREICHVILLE, COMMUNE",151,63 505,10658,"16,78%",106,10 552,64,"0,61%",INDEPENDANT,BLEHINE PODE THIERRY JOEL,116,"1,10%",
,,,,,,,,,,,INDEPENDANT,BAYE PAUL PIERRE VALENTIN,1 147,"10,87%",
,,,,,,,,,,,INDEPENDANT,SOUMAORO GAOUSSOU GEORGES ELVIS,33,"0,31%",
,,,,,,,,,,,RHDP,KAMARA AMINATA EPSE TOUNGARA,7 173,"67,98%",ELU(E)
,,,,,,,,,,,INDEPENDANT,TOURE IBRAHIME BEN NABIL,370,"3,51%",
,,,,,,,,,,,INDEPENDANT,BOMINAL SERI MICHEL,11,"0,10%",
,,,,,,,,,,,PDCI-RDA,KOUASSI-LENOIR GERMAIN,1 638,"15,52%",
,047,"YOPOUGON,COMMUNE",1 320,555 901,73989,"13,31%",2 055,71 934,707,"0,98%",INDEPENDANT,YOPOUGON NOTRE PASSION,2 106,"2,93%",
,,,,,,,,,,,RHDP,"UNE COTE DIVOIRE EN PAIX, PROPERE ET SOLIDAIRE",49 017,"68,14%",ELU(E)
,,,,,,,,,,,INDEPENDANT,LA VOIX DE YOPOUGON,533,"0,74%",
,,,,,,,,,,,INDEPENDANT,NOUVELLE VISION,576,"0,80%",
,,,,,,,,,,,INDEPENDANT,UNIS POUR NOTRE COMMUNE YOPOUGON,238,"0,33%",
,,,,,,,,,,,PDCI - FPI - ADCI,TOUS ENSEMBLE POUR LA COTE DIVOIRE,18 757,"26,08%",
,048,"ANYAMA ET BROFODOUME, COMMUNES ET SOUS-PREFECTURES",279,107 529,22823,"21,22%",597,22 226,235,"1,06%",INDEPENDANT,UNE NOUVELLE VISION POUR ANYAMA,706,"3,18%",
,,,,,,,,,,,INDEPENDANT,CITOYENS-UNIS POUR UN NOUVEL ANYAMA,416,"1,87%",
,,,,,,,,,,,INDEPENDANT,UNION POUR LA GRANDEUR D'ANYAMA,1 412,"6,35%",
,,,,,,,,,,,INDEPENDANT,ACTIFS POUR ANYAMA-ADJOUALE,3 206,"14,42%",
,,,,,,,,,,,INDEPENDANT,ENSEMBLE POUR ANYAMA,403,"1,81%",
,,,,,,,,,,,INDEPENDANT,LA TEAM KONÉ,305,"1,37%",
,,,,,,,,,,,RHDP,"UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE",8 801,"39,60%",ELU(E)
,,,,,,,,,,,INDEPENDANT,ENSEMBLE POUR UNE RENAISSANCE DURABLE,4 578,"20,60%",
,,,,,,,,,,,INDEPENDANT,L'ESPOIR D'ANYAMA C'EST VOUS,103,"0,46%",
,,,,,,,,,,,INDEPENDANT,ALIANCE POUR LA VOIX ET LECOUTE DE NOS CONCITOYENS,732,"3,29%",
,,,,,,,,,,,MERCI,LE MERCI,164,"0,74%",
,,,,,,,,,,,PDCI-RDA,NOUVELLE VISION,1 165,"5,24%",
