REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
NAWA,152,"LILIYO ET OKROUYO, COMMUNES ET SOUS-PREFECTURES",145,34 787,9285,"26,69%",409,8 876,117,"1,32%",INDEPENDANT,KOUADIO GBOGBO ERIC,430,"4,84%",
,,,,,,,,,,,RHDP,KONE DOSSOGUI,3 130,"35,26%",ELU(E)
,,,,,,,,,,,INDEPENDANT,BONI N'GUESSAN PLACIDE -STEPHANE,165,"1,86%",
,,,,,,,,,,,INDEPENDANT,GBAHI DJOUA LUC,1 211,"13,64%",
,,,,,,,,,,,INDEPENDANT,ADOU LANDRY JEAN-FRANCOIS,182,"2,05%",
,,,,,,,,,,,PDCI-RDA,KOUADIA BEDI NOEL-OLIVIER,2 457,"27,68%",
,,,,,,,,,,,INDEPENDANT,ZADI ZADI PATRICK ANDERSON,1 184,"13,34%",
,153,"SOUBRE, COMMUNES ET SOUS-PREFECTURE",160,53 618,9246,"17,24%",301,8 945,79,"0,88%",INDEPENDANT,COULIBALY SEKOU,706,"7,89%",
,,,,,,,,,,,INDEPENDANT,ZIRIGNON SEKOU LIGNON,1 341,"14,99%",
,,,,,,,,,,,INDEPENDANT,KOFFI KOUADIO OBED,87,"0,97%",
,,,,,,,,,,,INDEPENDANT,KOUADIO KONAN KANH JULIEN,20,"0,22%",
,,,,,,,,,,,RHDP,SANGARE MOUSSA,4 103,"45,87%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KONE MAMADOU,85,"0,95%",
,,,,,,,,,,,PDCI-RDA,DABA DAGNOGO,2 524,"28,22%",
N'ZI,155,"BENGASSOU, BOCANDA, KOUADIOBLEKRO ET N'ZECREZESSOU, COMMUNES ET SOUS-PREFECTURES",157,44 988,18242,"40,55%",791,17 451,252,"1,44%",INDEPENDANT,BOCANDA CEST CHEZ NOUS,2 548,"14,60%",
,,,,,,,,,,,INDEPENDANT,GENERATION UNIE ET SOLIDAIRE,752,"4,31%",
,,,,,,,,,,,CNDCI,COHESION-JUSTICE-DEVELOPPEMENT,404,"2,32%",
,,,,,,,,,,,RHDP,"UNE CÔTE DIVOIRE EN PAIX, PROSPÈRE ET SOLIDAIRE",5 608,"32,14%",
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,7 887,"45,20%",ELU(E)
,156,"KOUASSI-KOUASSIKRO, COMMUNES ET SOUS-PREFECTURE",46,13 333,5319,"39,89%",227,5 092,70,"1,37%",INDEPENDANT,KOUAKOU KOUADIO JOSEPH,1 128,"22,15%",
,,,,,,,,,,,INDEPENDANT,KOFFI AMANI FERDINAND,256,"5,03%",
,,,,,,,,,,,RHDP,KOUASSI KOUAKOU NARCISSE,2 116,"41,56%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KANGAH KONAN DENIS,35,"0,69%",
,,,,,,,,,,,INDEPENDANT,YAPO BERTHE TATIANA,227,"4,46%",
,,,,,,,,,,,PDCI-RDA,YAO KOFFI JEAN PAUL,1 260,"24,74%",
,159,"ABIGUI, DIANGOKRO ET NOFOU, COMMUNES ET SOUS-PREFECTURES",50,13 202,5902,"44,71%",216,5 686,53,"0,93%",INDEPENDANT,N'GUESSAN JOLIANE CLAIRE EPOUSE KOUAKOU,117,"2,06%",
,,,,,,,,,,,RHDP,KOFFI EUGENE,1 838,"32,33%",
,,,,,,,,,,,INDEPENDANT,ALLOU CHRISTOPHE N'GORAN,1 304,"22,93%",
,,,,,,,,,,,PIA/CODE,KOUADIO KOUASSI MARIUS,35,"0,62%",
,,,,,,,,,,,INDEPENDANT,KOUAME KOUADIO GERARD,161,"2,83%",
,,,,,,,,,,,PDCI-RDA,LANGUI KOUADIO MARC,2 178,"38,30%",ELU(E)
,160,"DIMBOKRO, COMMUNE ET SOUS-PREFECTURE",99,36 237,10564,"29,15%",401,10 163,64,"0,63%",INDEPENDANT,NZI YANN-GABRIEL DIBY,405,"3,99%",
,,,,,,,,,,,INDEPENDANT,DJAHA JEAN PARNELL,157,"1,54%",
,,,,,,,,,,,INDEPENDANT,AKA AKESSE KOUADIO VINCENT,231,"2,27%",
,,,,,,,,,,,RHDP,COULIBALY ADAMA,6 793,"66,84%",ELU(E)
,,,,,,,,,,,PDCI-RDA,KONAN KOUAKOU RENE,2 513,"24,73%",
