REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
GOH,067,"BAYOTA, DAHIEPA·KEHI, OURAGAHIO ET YOPOHUE, COMMUNES ET SOUS-PREFECTURES",150,42 324,10693,"25,26%",274,10 419,166,"1,59%",INDEPENDANT,YORO ALAIN MICHEL,67,"0,64%",
,,,,,,,,,,,INDEPENDANT,GOLLO-TABLEY ROBERT GABRIEL,121,"1,16%",
,,,,,,,,,,,INDEPENDANT,DOUAI LEGRE GERMAIN,1 582,"15,18%",
,,,,,,,,,,,INDEPENDANT,GBEKEDI DOUHABOU NOEL,63,"0,60%",
,,,,,,,,,,,EDS,GAROU ANTONI,418,"4,01%",
,,,,,,,,,,,PDCI-RDA,KONE-OBRE DEPROU CYRIELLE EMMANUELLE,1 819,"17,46%",
,,,,,,,,,,,MGC,GOURI KOUDOUGNON ALAIN,140,"1,34%",
,,,,,,,,,,,INDEPENDANT,KRIZO NICOLE FLEUR REGINA,42,"0,40%",
,,,,,,,,,,,INDEPENDANT,SOGO AYMAR TANGUY BLAIS,662,"6,35%",
,,,,,,,,,,,INDEPENDANT,DJEDJE BAGNON MARIUS BIENVENU,621,"5,96%",
,,,,,,,,,,,RHDP,KONE ISSA,2 749,"26,38%",ELU(E)
,,,,,,,,,,,INDEPENDANT,DALLY PRUDENCE SONIA,299,"2,87%",
,,,,,,,,,,,CODE,GRI SERAPHIN,195,"1,87%",
,,,,,,,,,,,INDEPENDANT,LITIE  LITIE ERIC,95,"0,91%",
,,,,,,,,,,,INDEPENDANT,YOUBOLOU ADJEHI NATHALIE,266,"2,55%",
,,,,,,,,,,,INDEPENDANT,ZAGO KPOKOU FRANCIS GOSSET,373,"3,58%",
,,,,,,,,,,,INDEPENDANT,GBALOU SERY MARTIN CLAVER,741,"7,11%",
,068,"DIGNAGO, GALEBOUO ET GUIBEROUA, COMMUNES ET SOUS-PREFECTURES",110,30 755,8919,"29,00%",276,8 643,87,"1,01%",CRI PANAFRICAIN,NAKI GOHOU ABEL,17,"0,20%",
,,,,,,,,,,,FPI,LIBY GUILLAUME,274,"3,17%",
,,,,,,,,,,,PDCI-RDA,DIGBEU BLE ALFRED,1 704,"19,72%",
,,,,,,,,,,,INDEPENDANT,OURAGA SERGE OLIVIER,1 327,"15,35%",
,,,,,,,,,,,RHDP,DOGO LOGBO MYSS BELMONDE,4 730,"54,73%",ELU(E)
,,,,,,,,,,,CODE,ZIE BETO ALFRED,44,"0,51%",
,,,,,,,,,,,INDEPENDANT,KOUADIO KONAN LEON,460,"5,32%",
