REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
GRANDS PONTS,083,"DABOU, LOPOU ET TOUPAH, COMMUNES ET SOUS-PREFECTURES",226,82 680,18971,"22,95%",401,18 570,170,"0,92%",RHDP,UNE CÔTE D'IVOIRE EN PAIX  PROSPERE ET SOLIDAIRE,13 219,"71,18%",ELU(E)
,,,,,,,,,,,MGC,POUR LA NATION,992,"5,34%",
,,,,,,,,,,,PDCI-RDA,TOUS UNIS POUR LA CÔTE DIVOIRE,4 189,"22,56%",
,084,"AHOUANOU, BACANDA, EBONOU, GRAND-LAHOU ET TOUKOUZOU, COMMUNES ET SOUS-PREFECTURES",145,39 303,11713,"29,80%",289,11 424,91,"0,80%",INDEPENDANT,KAKOU DIDIER PAUL AKA,45,"0,39%",
,,,,,,,,,,,INDEPENDANT,KOUASSI ANDRE,1 478,"12,94%",
,,,,,,,,,,,INDEPENDANT,AMIE LEBA YOLANDE EPOUSE ADO,1 001,"8,76%",
,,,,,,,,,,,RHDP,YAO N'GUESSAN ALFRED,4 567,"39,98%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KOUASSI ERHARD LUC,191,"1,67%",
,,,,,,,,,,,PDCI-RDA,YOBOUE MARIE LAURE,4 051,"35,46%",
,085,"ATOUTOU ET JACQUEVILLE, COMMUNES ET SOUS-PREFECTURES",86,28 167,8826,"31,33%",192,8 634,70,"0,81%",INDEPENDANT,ODA EDOUARD,1 972,"22,84%",
,,,,,,,,,,,RHDP,AMON-TANOH BENOIT MARCEL,4 630,"53,63%",ELU(E)
,,,,,,,,,,,INDEPENDANT,ADJOUSSOU GUY-PEINE,23,"0,27%",
,,,,,,,,,,,ADCI,GAHI GAHI INNOCENT,119,"1,38%",
,,,,,,,,,,,INDEPENDANT,GNANDUILLET ARSENE LUCAIN,180,"2,08%",
,,,,,,,,,,,FPI,N'GUESSAN DJIPRO GNANAGAHON VERONIQUE,285,"3,30%",
,,,,,,,,,,,PDCI-RDA,KOUASSI EPSE AKA-ADJO MARIE-ANGE GEORGETTE AYA-BONI,1 355,"15,69%",
GUEMON,086,"BANGOLO, GOHOUO-ZAGNA, KAHIN-ZARABAON ET ZOU, COMMUNES ET SOUS-PREFECTURES",114,38 004,13853,"36,45%",257,13 596,152,"1,12%",INDEPENDANT,TAH GLAO AGUILAS,586,"4,31%",
,,,,,,,,,,,PDCI-RDA,LEDIEHI KEMONDE CHRISTOPHE,505,"3,71%",
,,,,,,,,,,,INDEPENDANT,BAKO JEAN PONDERE NESTOR,556,"4,09%",
,,,,,,,,,,,INDEPENDANT,TAILLY THIERRY HERMANE,3 315,"24,38%",
,,,,,,,,,,,INDEPENDANT,DIET DAZAMIN ANGE LAURE,939,"6,91%",
,,,,,,,,,,,INDEPENDANT,DOUAROU ZOH ANDREE JOSELYNE,273,"2,01%",
,,,,,,,,,,,APR.CI,DJEHI MONHYA HYPPOLITE,214,"1,57%",
,,,,,,,,,,,RHDP,SEREY DOH CELESTIN,6 394,"47,03%",ELU(E)
,,,,,,,,,,,INDEPENDANT,FOUEMON  NEMET DESCANE WILFRIED,662,"4,87%",
,087,"BEOUE-ZIBIAO, BLENIMEOUIN, DIEOUZON, GUINGLO-TAHOUAKE ET ZEO, COMMUNES ET SOUS-PREFECTURES",84,24 148,9809,"40,62%",357,9 452,198,"2,09%",INDEPENDANT,TAE SYLVAIN,190,"2,01%",
,,,,,,,,,,,INDEPENDANT,TAILLY JEAN CHARLES FELIX LAMBERT,390,"4,13%",
,,,,,,,,,,,INDEPENDANT,GUIHIN DIOUFO NOMASSO,461,"4,88%",
,,,,,,,,,,,PDCI-RDA,DOHO ZONSELOUE SIMON,2 414,"25,54%",
,,,,,,,,,,,INDEPENDANT,MARCEL TABA,2 341,"24,77%",
,,,,,,,,,,,INDEPENDANT,GUELADE DOUE GHISLAIN STANISLAS,756,"8,00%",
,,,,,,,,,,,RHDP,BOHOUO DEHOUROU MATHURIN,2 702,"28,59%",ELU(E)
