REGION,CIRCONSCRIPTION,,NB BV,INSCRITS,VOTANTS,TAUX DE PART.,BULL. NULS,SUF. EXPRIMES,BULL. BLANCS,,GROUPEMENTS / PARTIS POLITIQUES,CANDIDATS / LISTES DE CANDIDATS,SCORES,%,
,,,,,,,,,NOMBRE,%,,,,,
LA ME,145,"AKOUPE ET BECOUEFIN, COMMUNES ET SOUS-PREFECTURES",109,41 157,13552,"32,93%",488,13 064,86,"0,66%",INDEPENDANT,YAPO VALERIE-YOLANDE,1 294,"9,91%",
,,,,,,,,,,,INDEPENDANT,ANON AGUIE CLOTAIRE,483,"3,70%",
,,,,,,,,,,,INDEPENDANT,KOISSY SECKA RENE NOEL FABRICE,130,"1,00%",
,,,,,,,,,,,INDEPENDANT,ASSEU ELOLO SIDONIE,3 066,"23,47%",
,,,,,,,,,,,INDEPENDANT,KIMOU ACHY JOEL FABRICE,207,"1,58%",
,,,,,,,,,,,FPI,YAPO ATSE HERMANN NDAH,499,"3,82%",
,,,,,,,,,,,RHDP,ASSI JEAN-LUC,6 859,"52,50%",ELU(E)
,,,,,,,,,,,INDEPENDANT,KIMOU KOFFI FLORENT,440,"3,37%",
,146,"ABOISSO-COMOE, ALEPE, ALLOSSO, DANGUIRA ET OGHLWAPO, COMMUNES ET SOUS-PREFECTURES",156,54 427,13996,"25,72%",349,13 647,97,"0,71%",INDEPENDANT,OSSIN YAPI SIMPLICE,3 494,"25,60%",
,,,,,,,,,,,ADCI,AGUIE ABOA LAURENTINE,169,"1,24%",
,,,,,,,,,,,RHDP,NCHO NCHO CHRISTOPHE,6 034,"44,21%",ELU(E)
,,,,,,,,,,,INDEPENDANT,ABOA HERMANN,1 531,"11,22%",
,,,,,,,,,,,INDEPENDANT,YAPO MARTIAL AUGUSTE,889,"6,51%",
,,,,,,,,,,,PDCI-RDA,DIALLO IBRAHIMA SORY,1 433,"10,50%",
,147,"ABONGOUA, BIEBY ET YAKASSE-ATTOBROU, COMMUNES ET SOUS-PREFECTURES",69,27 218,10647,"39,12%",622,10 025,78,"0,78%",INDEPENDANT,AMON EDY JEAN-ERIC,2 863,"28,56%",
,,,,,,,,,,,UFD,ACAFOU BEKOIN,289,"2,88%",
,,,,,,,,,,,INDEPENDANT,ASSI NDIN THEODORE,2 833,"28,26%",
,,,,,,,,,,,RHDP,ADEPO YAPO FRANCOIS,3 962,"39,52%",ELU(E)
LOH-DJIBOUA,125,"CHIEPO, DIDOKO, NEBO ET OGOUDOU, COMMUNES ET SOUS-PREFECTURES, DIVO, SOUS-PREFECTURE",176,47 838,14471,"30,25%",544,13 927,174,"1,25%",ADCI,ADCI,1 113,"7,99%",
,,,,,,,,,,,RHDP,"UNE CÔTE DIVOIRE EN PAIX, PROSPÈRE ET SOLIDAIRE",10 432,"74,90%",ELU(E)
,,,,,,,,,,,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,2 208,"15,85%",
,126,"DIVO, COMMUNE",201,80 222,28025,"34,93%",528,27 497,141,"0,51%",INDEPENDANT,DIAKITE ALAHASSANE,17 141,"62,34%",ELU(E)
,,,,,,,,,,,RHDP,FAMOUSSA COULIBALY,8 675,"31,55%",
,,,,,,,,,,,INDEPENDANT,BAMBA FATOU,71,"0,26%",
,,,,,,,,,,,INDEPENDANT,GNIGOU AYEREHONON GENEVIEVE MIMYELLE,129,"0,47%",
,,,,,,,,,,,INDEPENDANT,DJEGBI PRINCE HUSTER FRANCIS,41,"0,15%",
,,,,,,,,,,,INDEPENDANT,KONE MOUSSA,46,"0,17%",
,,,,,,,,,,,PDCI-RDA,AKOUN STEPHANE JOEL ANDREA,1 253,"4,56%",
,127,"HIRE ET ZEGO, COMMUNES ET SOUS-PREFECTURES",80,28 375,7714,"27,19%",249,7 465,88,"1,18%",INDEPENDANT,KONATE LAMINE,183,"2,45%",
,,,,,,,,,,,RHDP,DJA-BLE  JOSEPH,3 899,"52,23%",ELU(E)
,,,,,,,,,,,INDEPENDANT,OUREGA AGNEZA KOUASSI LANDRY,726,"9,73%",
,,,,,,,,,,,INDEPENDANT,AMANE KOUASSI VINCENT,165,"2,21%",
,,,,,,,,,,,INDEPENDANT,KONAN KOUAME ABEL,97,"1,30%",
,,,,,,,,,,,EDS,DAGO KOUASSI AUGUSTE,16,"0,21%",
,,,,,,,,,,,INDEPENDANT,N'DA YAO ALEXANDRE,285,"3,82%",
,,,,,,,,,,,INDEPENDANT,KOUASSI EPSE ABOURLAY TITRE MARIE-MADELEINE,109,"1,46%",
,,,,,,,,,,,PDCI-RDA,N'GUESSAN YAO SERGE,1 897,"25,41%",
